
METRICS_TIME         VALUE
--------------- ----------
21-JUN-14              803
21-JUN-14              884
21-JUN-14              833
21-JUN-14             1106
21-JUN-14             1196
21-JUN-14              742
21-JUN-14              746
21-JUN-14              747
21-JUN-14              899
21-JUN-14             1192
21-JUN-14              925
21-JUN-14              819
21-JUN-14              811
21-JUN-14             1201
21-JUN-14             1308
21-JUN-14             1068
21-JUN-14             1068
21-JUN-14             1045
21-JUN-14              980
21-JUN-14              849
21-JUN-14              904
21-JUN-14              893
21-JUN-14              889
21-JUN-14             1149
21-JUN-14              935
21-JUN-14             1027
21-JUN-14             1306
21-JUN-14             1205
21-JUN-14             1094
21-JUN-14              866
21-JUN-14             1693
21-JUN-14             1299
21-JUN-14              952
21-JUN-14             1011
21-JUN-14             1399
21-JUN-14             1331
21-JUN-14             1065
21-JUN-14              899
21-JUN-14              947
21-JUN-14             1032
21-JUN-14             1023
21-JUN-14             1008
21-JUN-14              894
21-JUN-14              835
21-JUN-14              933
21-JUN-14              897
21-JUN-14              878
21-JUN-14              967
21-JUN-14              929
21-JUN-14              864
21-JUN-14              699
21-JUN-14              732
21-JUN-14              763
21-JUN-14             1125
21-JUN-14              944
21-JUN-14              814
21-JUN-14              832
21-JUN-14              902
21-JUN-14             1037
21-JUN-14             1252
21-JUN-14              914
21-JUN-14              815
21-JUN-14              836
21-JUN-14              841
21-JUN-14              808
21-JUN-14              914
21-JUN-14              867
21-JUN-14              988
21-JUN-14              849
21-JUN-14              916
21-JUN-14              992
21-JUN-14             1026
21-JUN-14             1006
21-JUN-14              773
21-JUN-14              688
21-JUN-14              664
21-JUN-14              678
21-JUN-14              683
21-JUN-14              664
21-JUN-14              671
21-JUN-14              623
21-JUN-14              856
22-JUN-14              757
22-JUN-14              776
22-JUN-14              793
22-JUN-14              809
22-JUN-14              879
22-JUN-14              806
22-JUN-14              949
22-JUN-14              950
22-JUN-14              998
22-JUN-14              930
22-JUN-14              890
22-JUN-14              877
22-JUN-14              917
22-JUN-14              921
22-JUN-14              894
22-JUN-14              994
22-JUN-14              914
22-JUN-14              922
22-JUN-14              923
22-JUN-14              965
22-JUN-14              894
22-JUN-14              902
22-JUN-14             1052
22-JUN-14             1084
22-JUN-14             1015
22-JUN-14             1078
22-JUN-14             1057
22-JUN-14             1187
22-JUN-14             1160
22-JUN-14             1052
22-JUN-14             1153
22-JUN-14             1071
22-JUN-14             1157
22-JUN-14             1052
22-JUN-14             1096
22-JUN-14             1117
22-JUN-14             1246
22-JUN-14             1502
22-JUN-14             1259
22-JUN-14             1272
22-JUN-14             1334
22-JUN-14             1296
22-JUN-14             1253
22-JUN-14             1297
22-JUN-14             1408
22-JUN-14             1388
22-JUN-14             1365
22-JUN-14             1436
22-JUN-14             1416
22-JUN-14             1377
22-JUN-14             1225
22-JUN-14             1132
22-JUN-14             1178
22-JUN-14             1140
22-JUN-14             1458
22-JUN-14             1445
22-JUN-14             1051
22-JUN-14              965
22-JUN-14             1024
22-JUN-14             1348
22-JUN-14             1658
22-JUN-14             1504
22-JUN-14             1115
22-JUN-14             1085
22-JUN-14             1133
22-JUN-14             1482
22-JUN-14             1435
22-JUN-14             1108
22-JUN-14             1031
22-JUN-14             1029
22-JUN-14             1062
22-JUN-14             1105
22-JUN-14             1080
22-JUN-14             1033
22-JUN-14              994
22-JUN-14              957
22-JUN-14             1156
22-JUN-14             1151
22-JUN-14             1245
22-JUN-14             1406
22-JUN-14             1256
22-JUN-14              816
22-JUN-14              812
22-JUN-14              953
22-JUN-14             1186
22-JUN-14             1147
22-JUN-14              990
22-JUN-14             1056
22-JUN-14             1203
23-JUN-14             1575
23-JUN-14             1326
23-JUN-14             1129
23-JUN-14              947
23-JUN-14             1101
23-JUN-14             1289
23-JUN-14             1239
23-JUN-14              915
23-JUN-14              957
23-JUN-14             1135
23-JUN-14             1099
23-JUN-14             1155
23-JUN-14             1551
23-JUN-14             1291
23-JUN-14             1081
23-JUN-14             1161
23-JUN-14             1512
23-JUN-14             1403
23-JUN-14             1140
23-JUN-14             1046
23-JUN-14             1052
23-JUN-14             1505
23-JUN-14             1517
23-JUN-14             1000
23-JUN-14             1091
23-JUN-14             1243
23-JUN-14             1320
23-JUN-14             1179
23-JUN-14             1448
23-JUN-14             1252
23-JUN-14             1238
23-JUN-14             1102
23-JUN-14             1182
23-JUN-14             1182
23-JUN-14             1096
23-JUN-14             1181
23-JUN-14             1470
23-JUN-14             1975
23-JUN-14             1653
23-JUN-14             1189
23-JUN-14             1237
23-JUN-14             1376
23-JUN-14             1561
23-JUN-14             1625
23-JUN-14             1599
23-JUN-14             1324
23-JUN-14             1146
23-JUN-14             1484
23-JUN-14             1877
23-JUN-14             1458
