
METRICS_TIME         VALUE
--------------- ----------
21-JUN-14               10
21-JUN-14               20
21-JUN-14               30
21-JUN-14               20
21-JUN-14               10
21-JUN-14               10
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               10
21-JUN-14               10
21-JUN-14               10
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               10
21-JUN-14               30
21-JUN-14               20
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               20
21-JUN-14               30
21-JUN-14               20
21-JUN-14               30
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               10
21-JUN-14               10
21-JUN-14               30
21-JUN-14               30
21-JUN-14               20
21-JUN-14               10
21-JUN-14               10
21-JUN-14               20
21-JUN-14               10
21-JUN-14               10
21-JUN-14               10
21-JUN-14               10
21-JUN-14               20
21-JUN-14               30
21-JUN-14               20
21-JUN-14               30
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               30
21-JUN-14               10
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               30
21-JUN-14               30
21-JUN-14               10
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               10
21-JUN-14               10
21-JUN-14               20
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               20
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
21-JUN-14               30
21-JUN-14               20
21-JUN-14               10
21-JUN-14               30
21-JUN-14               20
21-JUN-14               10
21-JUN-14               20
22-JUN-14               10
22-JUN-14               10
22-JUN-14               10
22-JUN-14               20
22-JUN-14               30
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               30
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               40
22-JUN-14               20
22-JUN-14               40
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               30
22-JUN-14               20
22-JUN-14               30
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               30
22-JUN-14               10
22-JUN-14               30
22-JUN-14               20
22-JUN-14               30
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               10
22-JUN-14               30
22-JUN-14               30
22-JUN-14               20
22-JUN-14               30
22-JUN-14               10
22-JUN-14               20
22-JUN-14               30
22-JUN-14               20
22-JUN-14               10
22-JUN-14               20
22-JUN-14               10
22-JUN-14               30
22-JUN-14               10
22-JUN-14               10
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               20
22-JUN-14               30
22-JUN-14               10
22-JUN-14               30
22-JUN-14               20
23-JUN-14               20
23-JUN-14               10
23-JUN-14               20
23-JUN-14               10
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               20
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               10
23-JUN-14               30
23-JUN-14               30
23-JUN-14               20
23-JUN-14               30
23-JUN-14               10
23-JUN-14               20
23-JUN-14               30
23-JUN-14               30
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               20
23-JUN-14               30
23-JUN-14               30
23-JUN-14               30
23-JUN-14               20
23-JUN-14               20
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               20
23-JUN-14               30
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               20
23-JUN-14               10
23-JUN-14               30
23-JUN-14               10
23-JUN-14               20
23-JUN-14               30
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               10
23-JUN-14               10
23-JUN-14               30
23-JUN-14               30
23-JUN-14               20
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               10
23-JUN-14               30
23-JUN-14               10
23-JUN-14               10
23-JUN-14               20
23-JUN-14               20
23-JUN-14               20
23-JUN-14               30
23-JUN-14               30
23-JUN-14               20
23-JUN-14               10
23-JUN-14               30
23-JUN-14               20
23-JUN-14               30
23-JUN-14               30
23-JUN-14               30
24-JUN-14               20
24-JUN-14               50
24-JUN-14               20
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               30
24-JUN-14               30
24-JUN-14               20
24-JUN-14               30
24-JUN-14               10
24-JUN-14               10
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               30
24-JUN-14               30
24-JUN-14               20
24-JUN-14               30
24-JUN-14               10
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               20
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               30
24-JUN-14               30
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               30
24-JUN-14               10
24-JUN-14               20
24-JUN-14               10
24-JUN-14               30
24-JUN-14               10
24-JUN-14               20
24-JUN-14               30
24-JUN-14               10
24-JUN-14               20
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               30
24-JUN-14              220
24-JUN-14               20
24-JUN-14               30
24-JUN-14               20
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               30
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               30
24-JUN-14               10
24-JUN-14               20
24-JUN-14               20
24-JUN-14               20
24-JUN-14               10
24-JUN-14               20
24-JUN-14               20
24-JUN-14               30
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               10
25-JUN-14               20
25-JUN-14               30
25-JUN-14               30
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               10
25-JUN-14               30
25-JUN-14               30
25-JUN-14               10
25-JUN-14               10
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               10
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               40
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               10
25-JUN-14               30
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               10
25-JUN-14               30
25-JUN-14               20
25-JUN-14               30
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               10
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               30
25-JUN-14               10
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               10
25-JUN-14               20
25-JUN-14               20
25-JUN-14               10
25-JUN-14               10
25-JUN-14               10
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               10
25-JUN-14               20
25-JUN-14               30
25-JUN-14               30
25-JUN-14               10
25-JUN-14               10
25-JUN-14               20
25-JUN-14               30
25-JUN-14               20
25-JUN-14               20
25-JUN-14               30
25-JUN-14               10
25-JUN-14               30
25-JUN-14               30
25-JUN-14               20
25-JUN-14               10
25-JUN-14               20
25-JUN-14               30
25-JUN-14               30
26-JUN-14               10
26-JUN-14               10
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14                0
26-JUN-14               10
26-JUN-14               20
26-JUN-14               30
26-JUN-14               10
26-JUN-14               10
26-JUN-14               20
26-JUN-14               30
26-JUN-14               20
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               10
26-JUN-14               10
26-JUN-14               20
26-JUN-14               10
26-JUN-14               30
26-JUN-14               20
26-JUN-14               10
26-JUN-14               10
26-JUN-14               30
26-JUN-14               30
26-JUN-14               20
26-JUN-14               30
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               20
26-JUN-14              300
26-JUN-14               20
26-JUN-14               20
26-JUN-14               30
26-JUN-14               10
26-JUN-14               20
26-JUN-14               30
26-JUN-14               20
26-JUN-14               20
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               30
26-JUN-14               20
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               30
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               30
26-JUN-14               10
26-JUN-14               20
26-JUN-14               10
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               10
26-JUN-14               10
26-JUN-14               20
26-JUN-14               10
26-JUN-14               30
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               20
26-JUN-14               30
26-JUN-14               10
26-JUN-14               20
26-JUN-14               20
26-JUN-14               30
26-JUN-14               30
26-JUN-14               20
27-JUN-14               20
27-JUN-14               10
27-JUN-14               20
27-JUN-14               10
27-JUN-14               30
27-JUN-14               20
27-JUN-14               20
27-JUN-14               10
27-JUN-14               20
