METRICS_TIME         VALUE
--------------- ----------
25-JUN-14            27.56
25-JUN-14            30.09
25-JUN-14            30.79
25-JUN-14            25.05
25-JUN-14            30.62
25-JUN-14            32.19
25-JUN-14            38.28
25-JUN-14            24.89
25-JUN-14            21.86
25-JUN-14            26.45
25-JUN-14            30.07
25-JUN-14            34.23
25-JUN-14            25.93
25-JUN-14            28.22
25-JUN-14            22.97
25-JUN-14            32.74
25-JUN-14            35.36
25-JUN-14            35.67
25-JUN-14            34.47
25-JUN-14            37.32
25-JUN-14            29.15
25-JUN-14            24.26
25-JUN-14             28.8
25-JUN-14             29.5
25-JUN-14             26.1
25-JUN-14            22.28
25-JUN-14            24.51
25-JUN-14            24.81
25-JUN-14            41.66
25-JUN-14            23.66
25-JUN-14            44.19
25-JUN-14            34.55
25-JUN-14            37.89
25-JUN-14            42.67
25-JUN-14            40.61
25-JUN-14            41.78
25-JUN-14            50.38
25-JUN-14            27.55
25-JUN-14             26.6
25-JUN-14            26.27
25-JUN-14            26.86
25-JUN-14            29.17
25-JUN-14            42.77
25-JUN-14            43.53
25-JUN-14            31.38
25-JUN-14             28.9
25-JUN-14            30.87
25-JUN-14             33.4
25-JUN-14            25.09
25-JUN-14            28.86
25-JUN-14            31.71
25-JUN-14            27.85
25-JUN-14            29.21
25-JUN-14            44.84
25-JUN-14            28.82
25-JUN-14            27.81
25-JUN-14            23.79
25-JUN-14            25.56
25-JUN-14            27.21
25-JUN-14            33.25
25-JUN-14            25.07
25-JUN-14            28.41
25-JUN-14            35.58
25-JUN-14            29.52
25-JUN-14            33.52
25-JUN-14            27.05
25-JUN-14             22.8
25-JUN-14            28.03
25-JUN-14            29.35
25-JUN-14            29.91
25-JUN-14             28.2
25-JUN-14            30.11
25-JUN-14            36.07
25-JUN-14             29.7
25-JUN-14            37.15
25-JUN-14            30.83
25-JUN-14            29.64
25-JUN-14            40.36
25-JUN-14            33.46
25-JUN-14            30.18
25-JUN-14             26.9
25-JUN-14            25.55
25-JUN-14            26.03
25-JUN-14            32.23
25-JUN-14            27.53
25-JUN-14            24.41
25-JUN-14            23.83
25-JUN-14            38.92
25-JUN-14            30.21
25-JUN-14            43.89
25-JUN-14            34.87
25-JUN-14            52.76
25-JUN-14            39.17
25-JUN-14            41.54
25-JUN-14            27.12
25-JUN-14            27.36
25-JUN-14            30.94
25-JUN-14             43.6
25-JUN-14            29.25
25-JUN-14            27.43
25-JUN-14            29.22
25-JUN-14            30.49
25-JUN-14            27.99
25-JUN-14            28.43
25-JUN-14            25.25
25-JUN-14            31.33
25-JUN-14            37.62
25-JUN-14            35.93
25-JUN-14            40.87
25-JUN-14             46.4
25-JUN-14            36.22
25-JUN-14            29.73
25-JUN-14            31.74
25-JUN-14             33.3
25-JUN-14            28.42
25-JUN-14            32.05
25-JUN-14            34.48
25-JUN-14            32.16
25-JUN-14            28.46
25-JUN-14            29.77
25-JUN-14            32.06
25-JUN-14            35.77
25-JUN-14            34.03
25-JUN-14            27.42
25-JUN-14            35.11
25-JUN-14            26.86
25-JUN-14            32.17
25-JUN-14            27.04
25-JUN-14            31.87
25-JUN-14            31.77
25-JUN-14            25.72
25-JUN-14            21.51
25-JUN-14            26.79
25-JUN-14            24.89
25-JUN-14            25.89
25-JUN-14            26.15
25-JUN-14            24.32
25-JUN-14            21.31
25-JUN-14            21.07
25-JUN-14            22.08
25-JUN-14            24.69
25-JUN-14             27.8
25-JUN-14            33.02
25-JUN-14            31.98
25-JUN-14            29.62
25-JUN-14            20.16
