METRICS_TIME         VALUE
1406710026 322109
1406710035 351585
1406710046 349737
1406710056 364362
1406710065 359875
1406710075 338500
1406710085 326500
1406710095 299000
1406710105 295097
1406710114 334085
1406710126 343402
1406710136 331342
1406710145 308025
1406710156 308025
1406710165 318750
1406710175 303416
1406710186 310101
1406710195 325320
1406710205 302230
1406710215 331640
1406710225 337050
1406710236 296651
1406710244 329679
1406710256 326971
1406710264 327237
1406710275 328161
1406710286 333322
1406710295 342025
1406710306 347381
1406710316 328684
1406710325 328130
1406710335 359830
1406710346 367100
1406710356 422300
1406710366 448166
1406710376 420333
1406710386 423962
1406710397 435269
1406710407 435731
1406710418 398538
1406710428 367000
1406710438 356500
1406710448 374050
1406710458 337100
1406710468 319150
1406710478 355200
1406710488 370250
1406710497 388995
1406710508 428350
1406710517 467595
1406710529 460255
1406710538 415525
1406710549 345950
1406710558 341310
1406710569 350689
1406710578 353132
1406710588 347868
1406710597 336280
1406710609 291988
1406710617 294293
1406710629 276824
1406710638 323941
1406710648 289127
1406710659 292882
1406710668 266263
1406710678 243372
1406710688 244745
1406710698 264618
1406710709 267228
1406710718 281364
1406710727 281195
1406710738 257878
1406710747 258573
1406710759 258928
1406710768 250132
1406710778 247401
1406710788 294303
1406710798 391705
1406710809 306098
1406710819 314250
1406710829 294397
1406710839 283793
1406710848 273894
1406710858 285523
1406710869 280919
1406710879 255710
1406710889 270750
1406710899 316404
1406710910 339400
1406710919 328516
1406710933 296984
1406710942 276941
1406710950 269111
1406710960 276815
1406710969 294500
1406710978 300087
1406710991 273825
1406711000 234412
1406711009 231000
1406711018 220000
1406711030 241612
1406711038 291854
1406711049 306758
1406711059 279629
1406711069 297184
1406711078 316357
1406711090 389000
1406711099 365357
1406711111 369045
1406711121 391329
1406711131 427658
1406711142 415670
1406711152 438958
1406711164 520708
1406711174 442166
1406711185 381770
1406711195 372729
1406711205 392687
1406711214 417661
1406711225 436080
1406711236 468953
1406711257 457532
1406711267 448500
1406711277 467968
1406711288 433532
1406711298 493363
1406711310 585265
1406711322 575031
1406711334 568297
1406711345 485291
1406711355 501512
1406711366 561506
1406711377 562467
1406711388 513435
1406711398 476087
1406711412 445780
1406711423 392467
1406711432 340667
1406711442 294750
1406711452 277250
1406711462 270500
1406711472 271291
1406711482 275083
1406711492 261375
1406711502 319166
1406711510 309414
1406711522 264534
1406711531 264100
1406711541 282600
1406711552 307758
1406711562 306129
1406711572 326315
1406711581 346400
1406711592 431833
1406711602 528750
1406711612 525333
1406711621 440033
1406711632 382048
1406711642 346158
1406711651 349000
1406711662 403140
1406711672 451859
1406711683 578547
1406711693 684023
1406711704 691250
1406711715 648250
1406711726 601952
1406711736 610500
1406711747 582452
1406711757 562214
1406711768 546744
1406711779 574989
1406711791 599256
1406711802 530578
1406711813 428656
1406711823 394548
1406711833 470096
1406711844 513250
1406711855 517500
1406711866 477500
1406711877 451250
1406711888 451000
1406711899 460304
1406711909 450945
1406711920 510250
1406711931 473054
1406711941 510695
1406711952 487000
1406711963 460176
1406711974 464352
1406711985 480528
1406711995 483324
1406712006 498750
1406712017 490234
1406712028 413469
1406712038 413357
1406712049 480397
1406712059 671985
1406712072 715798
1406712083 755474
1406712093 716588
1406712104 724763
1406712116 669812
1406712127 455266
1406712136 404061
1406712147 352024
1406712157 354537
1406712168 339734
1406712178 364765
1406712189 381548
1406712199 433274
1406712209 434357
1406712220 365000
1406712230 343357
1406712241 315595
1406712251 295000
1406712261 288666
1406712270 303216
1406712281 311971
1406712290 308584
1406712300 333377
1406712313 328707
1406712323 348714
1406712332 377107
1406712341 362931
1406712352 309069
1406712361 275397
1406712371 274448
1406712381 269500
1406712391 299000
1406712401 298289
1406712410 298785
1406712422 304385
1406712430 329308
1406712442 311192
1406712451 328106
1406712462 311238
1406712472 315736
1406712481 327342
1406712491 295976
1406712502 275285
1406712512 305473
1406712521 318500
1406712532 298333
1406712541 318333
1406712551 304833
1406712562 288650
1406712571 290051
1406712581 295275
1406712591 325658
1406712602 329682
1406712611 364975
1406712622 434250
1406712633 450220
1406712642 382900
1406712653 303620
1406712662 279300
1406712672 270289
1406712681 295428
1406712693 301562
1406712702 319734
1406712713 314880
1406712723 318166
1406712732 298266
1406712743 299000
1406712752 316500
1406712763 321000
1406712771 360500
1406712783 338500
1406712793 316132
1406712802 292696
1406712812 268025
1406712822 284354
1406712832 266684
1406712843 263646
1406712852 300842
1406712862 247171
1406712872 261500
1406712882 295000
1406712892 318625
1406712903 370812
1406712914 368200
1406712923 358000
1406712933 359500
1406712943 352095
1406712955 352810
1406712963 353786
1406712975 322192
1406712984 389712
1406712995 434346
1406713004 388365
1406713015 326025
1406713024 291568
1406713035 317431
1406713044 367285
1406713056 435779
1406713067 528493
1406713078 548707
1406713089 488422
1406713100 494136
1406713110 552785
1406713121 547867
1406713132 530235
1406713143 487602
1406713153 490482
1406713164 524849
1406713174 450729
1406713184 347608
1406713193 394187
1406713205 570937
1406713216 694478
1406713228 681957
1406713239 529881
1406713249 425000
1406713259 404250
1406713269 402591
1406713281 391955
1406713291 381000
1406713300 379050
1406713311 361613
1406713320 333296
1406713332 316873
1406713341 311556
1406713350 309739
1406713359 279923
1406713371 256100
1406713379 252500
1406713391 277000
1406713400 279700
1406713411 285578
1406713421 325421
1406713432 350785
1406713442 376229
1406713453 366932
1406713463 350662
1406713474 367364
1406713484 387094
1406713495 415797
1406713506 429500
1406713517 419333
1406713528 424667
1406713539 403750
1406713550 407183
1406713562 487883
1406713587 584800
1406713599 579750
1406713611 563282
1406713623 525565
