METRICS_TIME VALUE
1406623685 237423.23913043478
1406623693 235390.36274509804
1406623736 234385.0071997549
1406623744 239012.93207097458
1406623795 287457.24382560485
1406623806 293493.0578893443
1406623856 295647.104739011
1406623897 296283.8349743151
1406623919 289844.15839041094
1406623929 290365.2914156626
1406623981 298375.7411521084
1406624002 300473.15625
1406624037 307086.0153508772
1406624059 297423.05753968254
1406624100 252609.08134920633
1406624122 243484.85040983607
1406624161 265173.345
1406624172 269938.5819672131
1406624222 274985.66549295775
1406624243 272240.8833333333
1406624282 247092.3697916667
1406624312 245794.2761211832
1406624342 240633.84911736642
1406624402 268362.82323473284
1406624413 267948.8752561475
1406624463 238543.2786458333
1406624473 232926.04626225488
1406624514 231261.03548728814
1406624532 242523.3151483051
1406624573 295620.91721754806
1406624584 305923.05241935485
1406624635 291999.2681864754
1406624645 283732.3073770492
1406624696 264647.48487903224
1406624707 269529.9685359589
1406624759 310124.2771832192
1406624769 314975.3177710844
1406624821 309912.4983057229
1406624842 315606.9114583334
1406624884 329842.16673801374
1406624915 337085.55421686743
1406624947 329524.0028237952
1406624967 343190.7998231132
1406625000 369021.23125
1406625022 391975.1194029851
1406625067 453868.7426470588
1406625090 449829.1810344828
1406625113 432678.1120689655
1406625125 420752.79347826086
1406625182 401378.521875
1406625205 397070.4846590909
1406625237 391301.7168269231
1406625270 404908.92642405065
1406625304 449520.34493670886
1406625316 451864.5079113924
1406625360 410579.12025316455
1406625383 419772.7794117647
1406625428 426898.39473684214
1406625440 419795.0416666666
1406625480 449951.22222222225
1406625500 440686.8323412698
1406625543 397857.60590277775
1406625554 391226.4706730769
1406625598 411574.2908653846
1406625608 410778.4356060606
1406625664 409706.1504424779
1406625721 427624.4586397059
1406625732 431662.4973958334
1406625787 465624.125
1406625811 468357.8214285714
1406625843 420844.00471698114
1406625864 397804.77357954544
1406625898 402113.00959429826
1406625921 397757.05867346935
1406625953 367106.8434311225
1406625996 340113.8779965753
1406626026 314357.662347561
1406626037 308344.7824900794
1406626079 308457.71478174604
1406626089 308506.96772540984
1406626140 296101.40061475406
1406626150 297288.07581967214
1406626201 344134.5833333334
1406626222 359196.82731958764
1406626254 357333.24871134025
1406626298 366937.0416666666
1406626320 351637.83720930235
1406626341 343303.4103773585
1406626373 367249.3726415094
1406626394 373820.3049316406
1406626437 388275.6213068182
1406626449 387950.02716346155
1406626502 310935.20361328125
1406626513 303457.9892695783
1406626564 323710.6042921687
1406626585 354250.8645833334
1406626629 418034.47743055556
1406626636 424952.36337209307
1406626695 357914.97965116275
1406626738 335930.10465116275
1406626758 346578.0705128205
1406626804 429855.1826923077
1406626816 431026.5535714286
1406626862 349034.9464285714
1406626874 343031.9682692308
1406626915 334320.4067307692
1406626927 340551.4719827586
1406626980 347230.1346982758
1406627002 362967.78155339806
1406627070 345790.7427184466
1406627083 360011.2391304348
1406627105 388504.4130434783
1406627116 394824.03125
1406627162 369988.3536931818
1406627193 384686.88512731483
1406627216 440152.4166666666
1406627229 462076.18852459016
1406627277 425488.3695652174
1406627298 400887.6477272727
1406627343 393813.15401785716
1406627354 398043.4166666666
1406627399 408196.88257575757
1406627409 409166.05503731343
1406627466 408558.95934734517
1406627522 415892.5376602564
1406627544 428371.6617647059
1406627579 433500.54411764705
1406627590 442680.13601762825
1406627657 479654.88446302817
1406627661 480653.5670955882
1406627696 488127.8612132353
1406627708 484116.9929956896
1406627754 456983.95
1406627778 454531.825
1406627834 430434.98924731184
1406627871 391097.375
1406627881 371948.375
1406627893 364893.1945876288
1406627947 359898.25773195876
1406627978 365343.26031839626
1406628000 373247.16515031643
1406628057 374951.86875
1406628069 390275.08125
1406628115 367794.234375
1406628149 381648.0903465346
1406628216 478062.264084507
1406628220 479310.1441176471
1406628243 474727.03529411764
1406628301 441621.801369863
1406628316 439035.375
1406628361 450940.36516853934
1406628405 469500.29270833335
1406628421 477146.3861607143
1406628433 477995.0587284483
1406628479 458439.9657346491
1406628536 428342.6766721491
1406628547 425425.40506329114
1406628603 407620.9345332278
1406628615 408650.1324013158
1406628660 407893.84058988764
1406628704 395910.12408088235
1406628717 402690.6877297794
1406628728 403802.82643581077
1406628782 413481.75422297296
1406628828 409745.34375
1406628840 405365.48777173914
1406628851 394773.678125
1406628895 374601.215625
1406628906 374241.5829326923
1406628960 324254.035625
1406628981 307535.328125
1406629023 316072.4609375
1406629065 345483.6674528302
1406629076 343127.7142857143
1406629086 337052.3968253968
1406629139 358263.6379310345
1406629173 374120.47
1406629205 371232.28
1406629239 376686.23214285716
1406629261 381684.1354166666
1406629272 380806.296875
1406629316 380788.75
1406629349 384478.32718749996
1406629382 408975.92
1406629416 423586.98903508775
1406629439 414453.1328125
1406629496 417259.13858695654
1406629508 418233.04347826086
1406629519 419264.29938271607
1406629573 423967.6795910494
1406629624 404305.47530864197
1406629670 387888.5789473684
1406629681 376199.25
1406629692 370280.7083333334
1406629736 401668.3697916666
1406629747 398470.1247596154
1406629801 339971.70476973685
1406629823 332952.6856971154
1406629853 349816.67073170736
1406629864 351762.429245283
1406629918 337646.3773584906
1406629959 335042.9965753425
1406629980 357825.897260274
1406629991 355829.484375
1406630044 341330.7865384616
1406630056 340617.5520833334
1406630098 353517.09375
1406630130 365681.8501602564
1406630165 355401.1384214744
1406630176 359701.91231343284
1406630220 415056.70219216414
1406630232 423652.3463068182
1406630275 441280.00085227273
1406630287 444202.16374143836
1406630348 460706.69965277775
1406630359 450397.9601004464
1406630404 395511.73529411765
1406630427 387864.27642045455
1406630459 363431.46732954547
1406630471 353091.6341911765
1406630527 325616.6704545454
1406630548 322789.9553125
1406630577 327528.01360887097
1406630641 320529.578125
1406630651 320230.39285714284
1406630704 333248.421875
1406630725 342488.1981132076
1406630757 355517.09523809527
1406630767 358428.975
1406630822 372480.99375
1406630832 377284.4479166666
1406630886 357094.86041666666
1406630897 368730.6964285714
1406630942 395405.97823660716
1406630953 390499.82625000004
1406631007 390268.128125
1406631017 392683.99573863635
1406631062 446577.7198275862
1406631075 449829.9919354839
1406631121 393453.1184475806
1406631155 395353.1261160714
1406631177 410695.91576086957
1406631201 402185.9402173913
1406631246 377096.7446646341
1406631324 432803.35975609755
1406631328 434571.90625
1406631360 412209.38613505743
1406631415 403305.6927083334
1406631426 403147.9919871795
1406631482 384910.3048878205
1406631493 380435.3624588816
1406631546 391915.55345394736
1406631558 391245.67884615384
1406631600 425647.7423076923
1406631611 424527.6421875
1406631668 409633.85625
1406631680 401964.1607142857
1406631724 388369.8288461538
1406631745 395021
1406631789 392110.5052083334
1406631799 410851.669921875
1406631844 474813.9111328125
1406631869 547445.439268868
1406631897 518412.621875
1406631909 488162.8930084746
1406631956 463776.82460387325
1406631980 447289.8410560345
1406632014 408385.3780153509
1406632037 382838.0411057692
1406632079 370218.94091796875
1406632101 370478.25
1406632146 354774.65909090906
1406632178 356554.64622641506
1406632199 378246.14919354836
1406632209 385688.796641791
1406632266 377235.0404411765
1406632277 373301.884868421
1406632321 314299.6743421053
1406632342 308676.9330985915
1406632382 312823.9366197183
1406632392 316002.5882352941
1406632435 342068.7426470588
1406632467 346504.08531746035
1406632498 324195.09523809527
1406632509 319346.8125
1406632562 334286.726744186
1406632595 332861.7686011905
1406632625 325416.1361607143
1406632658 314074.1577240566
1406632678 309948.9609375
1406632698 317765.0168650794
1406632741 335971.80555555556
1406632752 336696.3134014423
1406632793 337164.108125
1406632802 340192.4733886719
1406632857 369737.4713541666
1406632868 369350.009765625
1406632924 348991.43306107953
1406632945 345084.52440878376
1406632986 328750.4440878378
1406633109 377866.2075892857
1406633112 379221.7057733051
1406633156 386652.03628177964
1406633168 386324.162006579
1406633213 355474.01339285716
1406633224 356930.55433768657
1406633280 423342.646875
1406633304 427980.3683035714
1406633338 407202.4330357143
1406633406 352813.9278846154
1406633416 347447.61400462966
1406633460 374794.534375
1406633471 387665.4394778481
1406633527 415973.34869462025
1406633539 419793.015625
1406633573 377447.546875
1406633596 370824.50077160494
1406633640 382505.30999228393
1406633654 392171.11106418923
1406633714 517611.3893045775
1406633725 521490.7109375
1406633778 431711.7276785714
1406633781 429197.0255102041
1406633816 397207.53667091834
1406633827 393615.7497558594
1406633880 367630.0855263158
1406633903 361116.1929824562
1406633937 354451.22368421056
1406633979 378859.5520833334
1406634000 417983.03267045453
1406634012 433253.3072916666
1406634058 450884.1857638889
1406634081 452671.42696886446
1406634114 401118.9743589744
1406634562 368300.76923076925
1406634604 389449.0474137931
1406634649 419475.1875
1406634661 396550.209375
1406634694 403651.76875
1406634716 404209.9375
1406634738 393019.69970703125
1406634780 384862.81982421875
1406634802 392149.53671875
1406634848 383690.6546875
1406634860 385839.5099431818
1406634905 383905.75426136365
