METRICS_TIME         VALUE
25-JUN-14              234
25-JUN-14              255
25-JUN-14              251
25-JUN-14              276
25-JUN-14              241
25-JUN-14              238
25-JUN-14              251
25-JUN-14              258
25-JUN-14              269
25-JUN-14              265
25-JUN-14              274
25-JUN-14              286
25-JUN-14              267
25-JUN-14              276
25-JUN-14              278
25-JUN-14              281
25-JUN-14              297
25-JUN-14              284
25-JUN-14              289
25-JUN-14              284
25-JUN-14              287
25-JUN-14              313
25-JUN-14              300
25-JUN-14              279
25-JUN-14              286
25-JUN-14              299
25-JUN-14              286
25-JUN-14              302
25-JUN-14              282
25-JUN-14              307
25-JUN-14              311
25-JUN-14              320
25-JUN-14              310
25-JUN-14              318
25-JUN-14              308
25-JUN-14              305
25-JUN-14              301
25-JUN-14              298
25-JUN-14              310
25-JUN-14              322
25-JUN-14              314
25-JUN-14              324
25-JUN-14              323
25-JUN-14              317
25-JUN-14              338
25-JUN-14              317
25-JUN-14              302
25-JUN-14              303
25-JUN-14              335
25-JUN-14              328
25-JUN-14              315
25-JUN-14              325
25-JUN-14              351
25-JUN-14              329
25-JUN-14              342
25-JUN-14              329
25-JUN-14              346
25-JUN-14              328
25-JUN-14              349
25-JUN-14              343
25-JUN-14              332
25-JUN-14              361
25-JUN-14              350
25-JUN-14              352
25-JUN-14              341
25-JUN-14              379
25-JUN-14              377
25-JUN-14              381
25-JUN-14              364
25-JUN-14              380
25-JUN-14              374
25-JUN-14              361
25-JUN-14              401
25-JUN-14              395
25-JUN-14              437
25-JUN-14              395
25-JUN-14              413
25-JUN-14              450
25-JUN-14              405
25-JUN-14              391
25-JUN-14              382
25-JUN-14              406
25-JUN-14              430
25-JUN-14              431
25-JUN-14              421
25-JUN-14              429
25-JUN-14              428
25-JUN-14              433
25-JUN-14              465
25-JUN-14              429
25-JUN-14              438
25-JUN-14              456
25-JUN-14              446
25-JUN-14              478
25-JUN-14              465
25-JUN-14              457
25-JUN-14              490
25-JUN-14              443
25-JUN-14              496
25-JUN-14              504
25-JUN-14              517
25-JUN-14              501
25-JUN-14              467
25-JUN-14              520
25-JUN-14              526
25-JUN-14              525
25-JUN-14              505
25-JUN-14              526
25-JUN-14              571
25-JUN-14              552
25-JUN-14              521
25-JUN-14              570
25-JUN-14              534
25-JUN-14              542
25-JUN-14              549
25-JUN-14              511
25-JUN-14              541
25-JUN-14              552
25-JUN-14              533
25-JUN-14              557
25-JUN-14              543
25-JUN-14              551
25-JUN-14              530
25-JUN-14              527
25-JUN-14              546
25-JUN-14              546
25-JUN-14              527
25-JUN-14              532
25-JUN-14              496
25-JUN-14              520
25-JUN-14              514
25-JUN-14              486
25-JUN-14              505
25-JUN-14              504
25-JUN-14              468
25-JUN-14              439
25-JUN-14              439
25-JUN-14              453
25-JUN-14              447
25-JUN-14              457
25-JUN-14              424
25-JUN-14              417
25-JUN-14              396
25-JUN-14              399
25-JUN-14              371
25-JUN-14              379
25-JUN-14              359
25-JUN-14              342
25-JUN-14              356
25-JUN-14              332
25-JUN-14              335
25-JUN-14              295
25-JUN-14              296
25-JUN-14              331
25-JUN-14              311
25-JUN-14              311
25-JUN-14              288
25-JUN-14              296
25-JUN-14              280
25-JUN-14              287
25-JUN-14              272
25-JUN-14              260
25-JUN-14              274
25-JUN-14              265
25-JUN-14              277
25-JUN-14              295
25-JUN-14              275
25-JUN-14              268
25-JUN-14              270
25-JUN-14              276
