METRICS_TIME         VALUE
25-JUN-14              278
25-JUN-14              413
25-JUN-14              403
25-JUN-14              407
25-JUN-14              401
25-JUN-14              393
25-JUN-14              392
25-JUN-14              427
25-JUN-14              246
25-JUN-14              228
25-JUN-14              245
25-JUN-14              370
25-JUN-14              290
25-JUN-14              301
25-JUN-14              265
25-JUN-14              256
25-JUN-14              270
25-JUN-14              324
25-JUN-14              406
25-JUN-14              402
25-JUN-14              395
25-JUN-14              249
25-JUN-14              279
25-JUN-14              293
25-JUN-14              372
25-JUN-14              291
25-JUN-14              262
25-JUN-14              268
25-JUN-14              316
25-JUN-14              295
25-JUN-14              279
25-JUN-14              272
25-JUN-14              260
25-JUN-14              319
25-JUN-14              230
25-JUN-14              247
25-JUN-14              245
25-JUN-14              308
25-JUN-14              329
25-JUN-14              410
25-JUN-14              329
25-JUN-14              326
25-JUN-14              377
25-JUN-14              397
25-JUN-14              393
25-JUN-14              311
25-JUN-14              294
25-JUN-14              334
25-JUN-14              340
25-JUN-14              315
25-JUN-14              350
25-JUN-14              363
25-JUN-14              362
25-JUN-14              399
25-JUN-14              468
25-JUN-14              354
25-JUN-14              349
25-JUN-14              366
25-JUN-14              376
25-JUN-14              344
25-JUN-14              343
25-JUN-14              376
25-JUN-14              358
25-JUN-14              358
25-JUN-14              421
25-JUN-14              380
25-JUN-14              386
25-JUN-14              385
25-JUN-14              420
25-JUN-14              412
25-JUN-14              372
25-JUN-14              464
25-JUN-14              378
25-JUN-14              454
25-JUN-14              424
25-JUN-14              375
25-JUN-14              333
25-JUN-14              354
25-JUN-14              395
25-JUN-14              397
25-JUN-14              420
25-JUN-14              432
25-JUN-14              385
25-JUN-14              402
25-JUN-14              386
25-JUN-14              398
25-JUN-14              403
25-JUN-14              421
25-JUN-14              394
25-JUN-14              562
25-JUN-14              467
25-JUN-14              426
25-JUN-14              545
25-JUN-14              426
25-JUN-14              444
25-JUN-14              486
25-JUN-14              843
25-JUN-14              892
25-JUN-14              694
25-JUN-14              697
25-JUN-14              787
25-JUN-14              972
25-JUN-14              822
25-JUN-14              523
25-JUN-14              451
25-JUN-14              482
25-JUN-14              465
25-JUN-14              526
25-JUN-14              490
25-JUN-14              480
25-JUN-14              468
25-JUN-14              646
25-JUN-14              629
25-JUN-14              483
25-JUN-14              484
25-JUN-14              463
25-JUN-14              480
25-JUN-14              478
25-JUN-14              467
25-JUN-14              513
25-JUN-14              451
25-JUN-14              452
25-JUN-14              545
25-JUN-14              479
25-JUN-14              442
25-JUN-14              440
25-JUN-14              426
25-JUN-14              460
25-JUN-14              439
25-JUN-14              396
25-JUN-14              449
25-JUN-14              467
25-JUN-14              422
25-JUN-14              417
25-JUN-14              375
25-JUN-14              394
25-JUN-14              368
25-JUN-14              453
25-JUN-14              484
25-JUN-14              412
25-JUN-14              364
25-JUN-14              331
25-JUN-14              317
25-JUN-14              298
25-JUN-14              339
25-JUN-14              389
25-JUN-14              308
25-JUN-14              327
25-JUN-14              269
25-JUN-14              279
25-JUN-14              340
25-JUN-14              350
25-JUN-14              296
25-JUN-14              263
25-JUN-14              248
25-JUN-14              309
25-JUN-14              300
25-JUN-14              279
25-JUN-14              269
25-JUN-14              234
25-JUN-14              225
25-JUN-14              274
25-JUN-14              291
25-JUN-14              296
25-JUN-14              280
25-JUN-14              243
25-JUN-14              333
25-JUN-14              433
25-JUN-14              343
25-JUN-14              322
25-JUN-14              294
25-JUN-14              300
25-JUN-14              354
25-JUN-14              318
25-JUN-14              316
25-JUN-14              299
25-JUN-14              269
25-JUN-14              330
25-JUN-14              462
25-JUN-14              367
25-JUN-14              399
25-JUN-14              339
25-JUN-14              333
25-JUN-14              362
25-JUN-14              345
25-JUN-14              331
25-JUN-14              375
25-JUN-14              372
25-JUN-14              323
25-JUN-14              409
25-JUN-14              315
25-JUN-14              323
25-JUN-14              315
25-JUN-14              296
25-JUN-14              319
25-JUN-14              328
25-JUN-14              333
25-JUN-14              274
25-JUN-14              277
25-JUN-14              276
25-JUN-14              270
25-JUN-14              332
25-JUN-14              254
25-JUN-14              248
25-JUN-14              225
25-JUN-14              253
25-JUN-14              257
25-JUN-14              226
25-JUN-14              398
25-JUN-14              247
25-JUN-14              218
25-JUN-14              224
25-JUN-14              178
25-JUN-14              182
25-JUN-14              193
25-JUN-14              168
25-JUN-14              165
25-JUN-14              199
25-JUN-14              183
25-JUN-14              194
25-JUN-14              138
25-JUN-14              169
25-JUN-14              147
25-JUN-14              145
25-JUN-14              153
25-JUN-14              196
25-JUN-14              227
