METRICS_TIME         VALUE
--------------- ----------
25-JUN-14             4000
25-JUN-14             3893
25-JUN-14             3447
25-JUN-14             3507
25-JUN-14             4007
25-JUN-14             4640
25-JUN-14             3699
25-JUN-14             4009
25-JUN-14             3320
25-JUN-14             4025
25-JUN-14             4481
25-JUN-14             4102
25-JUN-14             5614
25-JUN-14             6096
25-JUN-14             6552
25-JUN-14             5615
25-JUN-14             3903
25-JUN-14             3817
25-JUN-14             6081
25-JUN-14             4962
25-JUN-14             4414
25-JUN-14             4343
25-JUN-14             4025
25-JUN-14             4260
25-JUN-14             5569
25-JUN-14             5834
25-JUN-14             5867
25-JUN-14             5443
25-JUN-14             5293
25-JUN-14             4607
25-JUN-14             4281
25-JUN-14             4371
25-JUN-14             4417
25-JUN-14             3580
25-JUN-14             4882
25-JUN-14             4107
25-JUN-14             4828
25-JUN-14             5529
25-JUN-14             5008
25-JUN-14             4524
25-JUN-14             5673
25-JUN-14             6929
25-JUN-14             7338
25-JUN-14             9184
25-JUN-14             7779
25-JUN-14             5496
25-JUN-14             4550
25-JUN-14             5394
25-JUN-14             5218
25-JUN-14             4813
25-JUN-14             4816
25-JUN-14             5621
25-JUN-14             5744
25-JUN-14             5788
25-JUN-14             6717
25-JUN-14             5459
25-JUN-14             4378
25-JUN-14             4517
25-JUN-14             5703
25-JUN-14             4538
25-JUN-14             4562
25-JUN-14             6093
25-JUN-14             4986
25-JUN-14             5033
25-JUN-14             4243
25-JUN-14             5136
25-JUN-14             5345
25-JUN-14             5271
25-JUN-14             5508
25-JUN-14             4516
25-JUN-14             6007
25-JUN-14             5597
25-JUN-14             5388
25-JUN-14             5822
25-JUN-14             5521
25-JUN-14             5723
25-JUN-14             4978
25-JUN-14             6062
25-JUN-14             7859
25-JUN-14             6250
25-JUN-14             7181
25-JUN-14             7059
25-JUN-14             6325
25-JUN-14             6431
25-JUN-14             6631
25-JUN-14             7934
25-JUN-14             7573
25-JUN-14             6719
25-JUN-14             6314
25-JUN-14             4689
25-JUN-14             4782
25-JUN-14             5349
25-JUN-14             6202
25-JUN-14             5506
25-JUN-14             5866
25-JUN-14             6535
25-JUN-14             7066
25-JUN-14             6917
25-JUN-14             6842
25-JUN-14             7386
25-JUN-14             8330
25-JUN-14             7548
25-JUN-14             6706
25-JUN-14             6059
25-JUN-14             5109
25-JUN-14             7067
25-JUN-14             6010
25-JUN-14             6006
25-JUN-14             5760
25-JUN-14             6277
25-JUN-14             6593
25-JUN-14             6522
25-JUN-14             5225
25-JUN-14             5616
25-JUN-14             6759
25-JUN-14             7564
25-JUN-14             8309
25-JUN-14             7960
25-JUN-14             7987
25-JUN-14             6331
25-JUN-14             5887
25-JUN-14             6177
25-JUN-14             6032
25-JUN-14             5978
25-JUN-14             8956
25-JUN-14             8044
25-JUN-14             6905
25-JUN-14             6151
25-JUN-14             6901
25-JUN-14             6924
25-JUN-14             6042
25-JUN-14             5708
25-JUN-14             6068
25-JUN-14             6560
25-JUN-14             6114
25-JUN-14             5791
25-JUN-14             6021
25-JUN-14             6515
25-JUN-14             5925
25-JUN-14             5226
25-JUN-14             5211
25-JUN-14             4597
25-JUN-14             5191
25-JUN-14             5532
25-JUN-14             5325
25-JUN-14             5567
25-JUN-14             5236
25-JUN-14             4930
25-JUN-14             5526
25-JUN-14             5503
25-JUN-14             6664
25-JUN-14             6059
25-JUN-14             5366
25-JUN-14             4567
25-JUN-14             3899
25-JUN-14             3407
25-JUN-14             3466
25-JUN-14             4035
25-JUN-14             4153
25-JUN-14             4944
25-JUN-14             3880
25-JUN-14             3935
25-JUN-14             4707
25-JUN-14             5134
25-JUN-14             4819
25-JUN-14             5033
25-JUN-14             5524
25-JUN-14             5952
25-JUN-14             5069
25-JUN-14             5676
25-JUN-14             5740
25-JUN-14             3791
25-JUN-14             3579
25-JUN-14             3965
25-JUN-14             3982
25-JUN-14             3889
25-JUN-14             2854
25-JUN-14             3677
25-JUN-14             4361
25-JUN-14             6140
25-JUN-14             5725
25-JUN-14             5753
25-JUN-14             4690
25-JUN-14             5230
25-JUN-14             4015
25-JUN-14             4193
25-JUN-14             3209
25-JUN-14             2953
25-JUN-14             4028
25-JUN-14             4742
25-JUN-14             3845
25-JUN-14             3030
25-JUN-14             3086
25-JUN-14             4101
25-JUN-14             3679
25-JUN-14             3003
25-JUN-14             2918
25-JUN-14             3282
25-JUN-14             3468
25-JUN-14             2967
25-JUN-14             3891
25-JUN-14             3481
25-JUN-14             3507
25-JUN-14             3715
25-JUN-14             3207
25-JUN-14             3783
25-JUN-14             4613
