METRICS_TIME         VALUE
--------------- ----------
07-JUN-14               28
07-JUN-14               19
07-JUN-14               19
07-JUN-14               26
07-JUN-14               20
07-JUN-14               16
07-JUN-14               16
07-JUN-14               13
07-JUN-14               21
07-JUN-14               18
07-JUN-14               19
07-JUN-14               21
07-JUN-14               26
07-JUN-14               14
07-JUN-14               14
07-JUN-14               16
07-JUN-14               29
07-JUN-14               30
07-JUN-14               18
07-JUN-14               20
07-JUN-14               18
07-JUN-14               17
08-JUN-14               16
08-JUN-14               28
08-JUN-14               22
08-JUN-14               20
08-JUN-14               21
08-JUN-14               26
08-JUN-14               22
08-JUN-14               17
08-JUN-14               17
08-JUN-14               15
08-JUN-14               17
08-JUN-14               24
08-JUN-14               21
08-JUN-14               23
08-JUN-14               13
08-JUN-14               10
08-JUN-14               20
08-JUN-14               20
08-JUN-14               25
08-JUN-14               25
08-JUN-14               20
08-JUN-14               16
08-JUN-14               23
08-JUN-14               19
09-JUN-14               30
09-JUN-14               28
09-JUN-14               33
09-JUN-14               22
09-JUN-14               26
09-JUN-14               26
09-JUN-14               24
09-JUN-14               30
09-JUN-14               26
09-JUN-14               30
09-JUN-14               27
09-JUN-14               24
09-JUN-14               27
09-JUN-14               24
09-JUN-14               23
09-JUN-14               29
09-JUN-14               26
09-JUN-14               30
09-JUN-14               25
09-JUN-14               34
09-JUN-14               29
09-JUN-14               26
09-JUN-14               26
09-JUN-14               24
10-JUN-14               36
10-JUN-14               36
10-JUN-14               23
10-JUN-14               21
10-JUN-14               29
10-JUN-14               23
10-JUN-14               27
10-JUN-14               26
10-JUN-14               16
10-JUN-14               26
10-JUN-14               20
10-JUN-14               18
10-JUN-14               19
10-JUN-14               31
10-JUN-14               30
10-JUN-14               27
10-JUN-14               23
10-JUN-14               19
10-JUN-14               24
10-JUN-14               24
10-JUN-14               19
10-JUN-14               13
10-JUN-14               25
11-JUN-14               19
11-JUN-14               20
11-JUN-14               21
11-JUN-14               21
11-JUN-14               18
11-JUN-14               20
11-JUN-14               22
11-JUN-14               22
11-JUN-14               18
11-JUN-14               17
11-JUN-14               17
11-JUN-14               15
11-JUN-14               15
11-JUN-14               20
11-JUN-14               22
11-JUN-14               25
11-JUN-14               26
11-JUN-14               20
11-JUN-14               20
11-JUN-14               24
11-JUN-14               21
11-JUN-14               22
11-JUN-14               21
11-JUN-14               57
12-JUN-14               14
12-JUN-14               16
12-JUN-14               17
12-JUN-14               22
12-JUN-14               30
12-JUN-14               20
12-JUN-14               16
12-JUN-14               21
12-JUN-14               18
12-JUN-14               14
12-JUN-14               20
12-JUN-14               17
12-JUN-14               29
12-JUN-14               26
12-JUN-14               26
12-JUN-14               19
12-JUN-14               23
12-JUN-14               30
12-JUN-14               31
12-JUN-14               29
12-JUN-14               27
12-JUN-14               19
12-JUN-14               21
12-JUN-14               19
13-JUN-14               23
13-JUN-14               41
13-JUN-14               39
13-JUN-14               41
13-JUN-14               34
13-JUN-14               26
13-JUN-14               44
13-JUN-14               36
13-JUN-14               43
13-JUN-14               31
13-JUN-14               31
13-JUN-14               27
13-JUN-14               31
13-JUN-14               36
13-JUN-14               31
13-JUN-14               24
13-JUN-14               20
13-JUN-14               27
13-JUN-14               19
13-JUN-14               19
13-JUN-14               23
13-JUN-14               25
13-JUN-14               16
13-JUN-14               16
14-JUN-14               33
14-JUN-14               29
14-JUN-14               24
14-JUN-14               26
14-JUN-14               31
14-JUN-14               29
14-JUN-14               38
14-JUN-14               21
14-JUN-14               20
14-JUN-14               14
14-JUN-14               19
14-JUN-14               26
14-JUN-14               32
14-JUN-14               28
