METRICS_TIME         VALUE
--------------- ----------
22-JUN-14            14720
22-JUN-14            14544
22-JUN-14            14895
22-JUN-14            15328
22-JUN-14            15478
22-JUN-14            14990
22-JUN-14            16210
22-JUN-14            15624
22-JUN-14            15673
22-JUN-14            15557
22-JUN-14            16022
22-JUN-14            15579
22-JUN-14            15630
22-JUN-14            16583
22-JUN-14            17609
22-JUN-14            16663
22-JUN-14            17080
22-JUN-14            17490
22-JUN-14            18121
22-JUN-14            17995
22-JUN-14            17766
22-JUN-14            18465
22-JUN-14            18212
22-JUN-14            19107
22-JUN-14            18627
22-JUN-14            19041
22-JUN-14            19489
22-JUN-14            20484
22-JUN-14            22649
22-JUN-14            21168
22-JUN-14            21670
22-JUN-14            22632
22-JUN-14            22258
22-JUN-14            22755
22-JUN-14            23957
22-JUN-14            25031
22-JUN-14            24707
22-JUN-14            23960
22-JUN-14            24499
22-JUN-14            25064
22-JUN-14            24360
22-JUN-14            22376
22-JUN-14            22392
22-JUN-14            20920
22-JUN-14            20747
22-JUN-14            19850
22-JUN-14            21315
22-JUN-14            20208
22-JUN-14            15745
22-JUN-14            15593
22-JUN-14            17300
22-JUN-14            18622
22-JUN-14            16977
22-JUN-14            14716
22-JUN-14            14402
22-JUN-14            15072
22-JUN-14            17370
22-JUN-14            16934
22-JUN-14            15316
22-JUN-14            14507
22-JUN-14            14642
22-JUN-14            15373
22-JUN-14            14880
22-JUN-14            14871
22-JUN-14            14316
22-JUN-14            14115
22-JUN-14            13774
22-JUN-14            13390
22-JUN-14            14593
22-JUN-14            15198
22-JUN-14            15817
22-JUN-14            14688
22-JUN-14            11389
22-JUN-14            11521
22-JUN-14            12575
22-JUN-14            13943
22-JUN-14            14100
22-JUN-14            13646
22-JUN-14            14203
22-JUN-14            14882
22-JUN-14            17824
23-JUN-14            16439
23-JUN-14            15722
23-JUN-14            13935
23-JUN-14            14809
23-JUN-14            16126
23-JUN-14            16390
23-JUN-14            13968
23-JUN-14            14471
23-JUN-14            14691
23-JUN-14            16302
23-JUN-14            15958
23-JUN-14            16705
23-JUN-14            19561
23-JUN-14            18145
23-JUN-14            16267
23-JUN-14            17929
23-JUN-14            19530
23-JUN-14            19028
23-JUN-14            17289
23-JUN-14            16929
23-JUN-14            20019
23-JUN-14            20019
23-JUN-14            16977
23-JUN-14            17701
23-JUN-14            18732
23-JUN-14            19548
23-JUN-14            18580
23-JUN-14            20140
23-JUN-14            18682
23-JUN-14            19207
23-JUN-14            18130
23-JUN-14            18981
23-JUN-14            18958
23-JUN-14            19532
23-JUN-14            18338
23-JUN-14            19271
23-JUN-14            21444
23-JUN-14            24246
23-JUN-14            23365
23-JUN-14            20001
23-JUN-14            20195
23-JUN-14            21064
23-JUN-14            22740
23-JUN-14            23702
23-JUN-14            23526
23-JUN-14            22165
23-JUN-14            20886
23-JUN-14            23951
23-JUN-14            23507
23-JUN-14            21603
23-JUN-14            21551
23-JUN-14            23474
23-JUN-14            22357
23-JUN-14            20697
23-JUN-14            21066
23-JUN-14            20028
23-JUN-14            19979
23-JUN-14            19711
23-JUN-14            19090
23-JUN-14            18607
23-JUN-14            18286
23-JUN-14            18095
23-JUN-14            15857
23-JUN-14            15683
23-JUN-14            15446
23-JUN-14            16116
23-JUN-14            17306
23-JUN-14            16375
23-JUN-14            13526
23-JUN-14            15447
23-JUN-14            17091
23-JUN-14            15626
23-JUN-14            14755
23-JUN-14            18224
23-JUN-14            15596
23-JUN-14            14468
23-JUN-14            13474
23-JUN-14            13396
23-JUN-14            14138
23-JUN-14            13725
23-JUN-14            15496
23-JUN-14            14334
23-JUN-14            12815
23-JUN-14            16138
23-JUN-14            14456
23-JUN-14            13873
23-JUN-14            12777
23-JUN-14            13153
23-JUN-14            14795
23-JUN-14            16217
23-JUN-14            15080
23-JUN-14            15421
24-JUN-14            13151
24-JUN-14            13995
24-JUN-14            13748
24-JUN-14            15497
24-JUN-14            15148
24-JUN-14            15668
24-JUN-14            14243
24-JUN-14            14711
24-JUN-14            14728
24-JUN-14            15024
24-JUN-14            15689
24-JUN-14            16790
24-JUN-14            18706
24-JUN-14            18981
24-JUN-14            16680
24-JUN-14            16986
24-JUN-14            16233
24-JUN-14            17809
24-JUN-14            17133
24-JUN-14            16630
24-JUN-14            17351
24-JUN-14            20080
24-JUN-14            20019
24-JUN-14            18897
24-JUN-14            17534
24-JUN-14            17431
24-JUN-14            18653
24-JUN-14            19169
24-JUN-14            18282
24-JUN-14            19796
24-JUN-14            19664
24-JUN-14            17782
24-JUN-14            18419
24-JUN-14            19456
24-JUN-14            18906
24-JUN-14            18674
24-JUN-14            19934
24-JUN-14            22518
24-JUN-14            23765
24-JUN-14            20592
24-JUN-14            19271
24-JUN-14            18931
24-JUN-14            18682
24-JUN-14            20961
24-JUN-14            22020
24-JUN-14            23764
24-JUN-14            21558
24-JUN-14            22356
24-JUN-14            21914
24-JUN-14            23668
24-JUN-14            25172
24-JUN-14            22862
24-JUN-14            22836
24-JUN-14            20722
24-JUN-14            21043
24-JUN-14            19939
24-JUN-14            19289
24-JUN-14            18393
24-JUN-14            16983
24-JUN-14            16742
24-JUN-14            16932
24-JUN-14            17787
24-JUN-14            15236
24-JUN-14            14865
24-JUN-14            14924
24-JUN-14            13538
24-JUN-14            17512
24-JUN-14            15495
24-JUN-14            13947
24-JUN-14            13685
24-JUN-14            13481
24-JUN-14            15205
24-JUN-14            15921
24-JUN-14            15597
24-JUN-14            14252
24-JUN-14            13675
24-JUN-14            14604
24-JUN-14            13718
