METRICS_TIME         VALUE
--------------- ----------
21-JUN-14               77
21-JUN-14               82
21-JUN-14               80
21-JUN-14               93
21-JUN-14               85
21-JUN-14               77
21-JUN-14               78
21-JUN-14               79
21-JUN-14               93
21-JUN-14               82
21-JUN-14               82
21-JUN-14               75
21-JUN-14               90
21-JUN-14               89
21-JUN-14               89
21-JUN-14               79
21-JUN-14               83
21-JUN-14               83
21-JUN-14               84
21-JUN-14               74
21-JUN-14               81
21-JUN-14               83
21-JUN-14               84
21-JUN-14               82
21-JUN-14               82
21-JUN-14               83
21-JUN-14               96
21-JUN-14               79
21-JUN-14               83
21-JUN-14               78
21-JUN-14              103
21-JUN-14               81
21-JUN-14               81
21-JUN-14               83
21-JUN-14               85
21-JUN-14               88
21-JUN-14               79
21-JUN-14               81
21-JUN-14               76
21-JUN-14               82
21-JUN-14               81
21-JUN-14               83
21-JUN-14               75
21-JUN-14               78
21-JUN-14               80
21-JUN-14               83
21-JUN-14               74
21-JUN-14               83
21-JUN-14               79
21-JUN-14               78
21-JUN-14               71
21-JUN-14               76
21-JUN-14               77
21-JUN-14               88
21-JUN-14               77
21-JUN-14               79
21-JUN-14               77
21-JUN-14               79
21-JUN-14               82
21-JUN-14               87
21-JUN-14               80
21-JUN-14               71
21-JUN-14               81
21-JUN-14               76
21-JUN-14               78
21-JUN-14               71
21-JUN-14               76
21-JUN-14               77
21-JUN-14               83
21-JUN-14               73
21-JUN-14               84
21-JUN-14               75
21-JUN-14               83
21-JUN-14               73
21-JUN-14               77
21-JUN-14               73
21-JUN-14               76
21-JUN-14               78
21-JUN-14               77
21-JUN-14               78
21-JUN-14               68
21-JUN-14               84
21-JUN-14               77
22-JUN-14               83
22-JUN-14               80
22-JUN-14               80
22-JUN-14               80
22-JUN-14               81
22-JUN-14               79
22-JUN-14               85
22-JUN-14               82
22-JUN-14               82
22-JUN-14               76
22-JUN-14               84
22-JUN-14               82
22-JUN-14               85
22-JUN-14               75
22-JUN-14               78
22-JUN-14               83
22-JUN-14               82
22-JUN-14               74
22-JUN-14               86
22-JUN-14               82
22-JUN-14               80
22-JUN-14               75
22-JUN-14               85
22-JUN-14               86
22-JUN-14               77
22-JUN-14               84
22-JUN-14               81
22-JUN-14               86
22-JUN-14               77
22-JUN-14               83
22-JUN-14               84
22-JUN-14               83
22-JUN-14               80
22-JUN-14               84
22-JUN-14               84
22-JUN-14               85
22-JUN-14               81
22-JUN-14               96
22-JUN-14               86
22-JUN-14               89
22-JUN-14               82
22-JUN-14               89
22-JUN-14               85
22-JUN-14               87
22-JUN-14               87
22-JUN-14               82
22-JUN-14               90
22-JUN-14               86
22-JUN-14               88
22-JUN-14               81
22-JUN-14               82
22-JUN-14               80
22-JUN-14               84
22-JUN-14               76
22-JUN-14               80
22-JUN-14               86
22-JUN-14               83
22-JUN-14               77
22-JUN-14               76
22-JUN-14               84
22-JUN-14               75
22-JUN-14               82
22-JUN-14               75
22-JUN-14               78
22-JUN-14               74
22-JUN-14               90
22-JUN-14               89
22-JUN-14               84
22-JUN-14               76
22-JUN-14               82
22-JUN-14               82
22-JUN-14               80
22-JUN-14               76
22-JUN-14               80
22-JUN-14               80
22-JUN-14               80
22-JUN-14               72
22-JUN-14               84
22-JUN-14               85
22-JUN-14               88
22-JUN-14               86
22-JUN-14               75
22-JUN-14               74
22-JUN-14               75
22-JUN-14               87
22-JUN-14               82
22-JUN-14               82
22-JUN-14               75
22-JUN-14               86
22-JUN-14               92
23-JUN-14               86
23-JUN-14               85
23-JUN-14               77
23-JUN-14               82
23-JUN-14               85
23-JUN-14               82
23-JUN-14               79
23-JUN-14               78
23-JUN-14               80
23-JUN-14               79
23-JUN-14               82
23-JUN-14               84
23-JUN-14               98
23-JUN-14               81
23-JUN-14               82
23-JUN-14               85
23-JUN-14               95
23-JUN-14               81
23-JUN-14               84
23-JUN-14               83
23-JUN-14               86
23-JUN-14               85
23-JUN-14               79
23-JUN-14               85
23-JUN-14               81
23-JUN-14               92
23-JUN-14               82
23-JUN-14               93
23-JUN-14               78
23-JUN-14               88
23-JUN-14               81
23-JUN-14               88
23-JUN-14               78
23-JUN-14               90
23-JUN-14               81
23-JUN-14               89
23-JUN-14               98
23-JUN-14              118
23-JUN-14               93
23-JUN-14               86
23-JUN-14               79
23-JUN-14               91
23-JUN-14               93
23-JUN-14               95
23-JUN-14               91
23-JUN-14               92
23-JUN-14               84
23-JUN-14               90
23-JUN-14               88
23-JUN-14               84
23-JUN-14               90
23-JUN-14               83
23-JUN-14               84
23-JUN-14               82
23-JUN-14               85
23-JUN-14               97
23-JUN-14               86
23-JUN-14               84
23-JUN-14               82
23-JUN-14               76
23-JUN-14               84
23-JUN-14              108
23-JUN-14               83
23-JUN-14               81
23-JUN-14               74
23-JUN-14               81
23-JUN-14               88
23-JUN-14               84
23-JUN-14               72
23-JUN-14               81
23-JUN-14               90
23-JUN-14               85
23-JUN-14               80
23-JUN-14               89
23-JUN-14               79
23-JUN-14               73
23-JUN-14               77
23-JUN-14               81
23-JUN-14               84
23-JUN-14               72
23-JUN-14               84
23-JUN-14               84
23-JUN-14               98
23-JUN-14              108
23-JUN-14               84
23-JUN-14               81
23-JUN-14               94
23-JUN-14               94
23-JUN-14              116
23-JUN-14              110
23-JUN-14               92
23-JUN-14              101
24-JUN-14               89
24-JUN-14               97
24-JUN-14               84
24-JUN-14               90
24-JUN-14               85
24-JUN-14               91
24-JUN-14               76
24-JUN-14               82
24-JUN-14               90
24-JUN-14               81
24-JUN-14               86
24-JUN-14               87
24-JUN-14               92
24-JUN-14               88
24-JUN-14               84
24-JUN-14               82
24-JUN-14               81
24-JUN-14               80
24-JUN-14               86
