
METRICS_TIME         VALUE
--------------- ----------
21-JUN-14            19528
21-JUN-14            19364
21-JUN-14            20288
21-JUN-14            22878
21-JUN-14            24332
21-JUN-14            18976
21-JUN-14            19413
21-JUN-14            19322
21-JUN-14            20849
21-JUN-14            23793
21-JUN-14            21962
21-JUN-14            20723
21-JUN-14            20795
21-JUN-14            23344
21-JUN-14            25037
21-JUN-14            26172
21-JUN-14            23707
21-JUN-14            23807
21-JUN-14            23907
21-JUN-14            23002
21-JUN-14            21372
21-JUN-14            22446
21-JUN-14            22160
21-JUN-14            24582
21-JUN-14            23175
21-JUN-14            24181
21-JUN-14            27222
21-JUN-14            25758
21-JUN-14            24263
21-JUN-14            22402
21-JUN-14            30893
21-JUN-14            27221
21-JUN-14            24298
21-JUN-14            23847
21-JUN-14            24062
21-JUN-14            27604
21-JUN-14            27562
21-JUN-14            25453
21-JUN-14            23324
21-JUN-14            23409
21-JUN-14            23551
21-JUN-14            24991
21-JUN-14            22977
21-JUN-14            21753
21-JUN-14            23136
21-JUN-14            22943
21-JUN-14            23121
21-JUN-14            23636
21-JUN-14            23461
21-JUN-14            22067
21-JUN-14            20103
21-JUN-14            19326
21-JUN-14            19852
21-JUN-14            21502
21-JUN-14            19618
21-JUN-14            17923
21-JUN-14            17855
21-JUN-14            18900
21-JUN-14            19273
21-JUN-14            21525
21-JUN-14            18483
21-JUN-14            17220
21-JUN-14            17779
21-JUN-14            17500
21-JUN-14            16726
21-JUN-14            17647
21-JUN-14            16965
21-JUN-14            16229
21-JUN-14            18024
21-JUN-14            17717
21-JUN-14            20094
21-JUN-14            18436
21-JUN-14            18007
21-JUN-14            15449
21-JUN-14            14489
21-JUN-14            14062
21-JUN-14            14647
21-JUN-14            14819
21-JUN-14            14226
21-JUN-14            14209
21-JUN-14            14247
21-JUN-14            16725
22-JUN-14            16445
22-JUN-14            16890
22-JUN-14            17677
22-JUN-14            17377
22-JUN-14            18709
22-JUN-14            19201
22-JUN-14            20652
22-JUN-14            20473
22-JUN-14            21041
22-JUN-14            20998
22-JUN-14            20493
22-JUN-14            20911
22-JUN-14            21701
22-JUN-14            22140
22-JUN-14            21482
22-JUN-14            23927
22-JUN-14            22484
22-JUN-14            22404
22-JUN-14            21829
22-JUN-14            22787
22-JUN-14            21831
22-JUN-14            22091
22-JUN-14            23073
22-JUN-14            24689
22-JUN-14            23445
22-JUN-14            24106
22-JUN-14            24222
22-JUN-14            25686
22-JUN-14            25395
22-JUN-14            24881
22-JUN-14            26130
22-JUN-14            25478
22-JUN-14            26462
22-JUN-14            25884
22-JUN-14            26160
22-JUN-14            26809
22-JUN-14            28163
22-JUN-14            30748
22-JUN-14            29025
22-JUN-14            29721
22-JUN-14            31279
22-JUN-14            30469
22-JUN-14            31295
22-JUN-14            32731
22-JUN-14            33963
22-JUN-14            33348
22-JUN-14            32410
22-JUN-14            33728
22-JUN-14            34213
22-JUN-14            33083
22-JUN-14            30583
22-JUN-14            28654
22-JUN-14            28440
22-JUN-14            27449
22-JUN-14            30050
22-JUN-14            28933
22-JUN-14            24497
22-JUN-14            22159
22-JUN-14            21846
22-JUN-14            26235
22-JUN-14            28727
22-JUN-14            28352
22-JUN-14            23197
22-JUN-14            21980
22-JUN-14            22333
22-JUN-14            24844
22-JUN-14            24495
22-JUN-14            21425
22-JUN-14            20523
22-JUN-14            21824
22-JUN-14            20544
22-JUN-14            20769
22-JUN-14            20032
22-JUN-14            19720
22-JUN-14            19583
22-JUN-14            19016
22-JUN-14            20774
22-JUN-14            22748
22-JUN-14            21774
22-JUN-14            23068
22-JUN-14            21721
22-JUN-14            16260
22-JUN-14            16633
22-JUN-14            18195
22-JUN-14            20521
22-JUN-14            20796
22-JUN-14            19948
22-JUN-14            20648
22-JUN-14            26689
23-JUN-14            24134
23-JUN-14            23248
23-JUN-14            20306
23-JUN-14            21585
23-JUN-14            23534
23-JUN-14            23713
23-JUN-14            20292
23-JUN-14            20630
23-JUN-14            21178
23-JUN-14            23730
23-JUN-14            23436
23-JUN-14            24451
23-JUN-14            28765
23-JUN-14            26594
23-JUN-14            24075
23-JUN-14            26542
23-JUN-14            28813
23-JUN-14            27796
23-JUN-14            25000
23-JUN-14            23826
23-JUN-14            24627
23-JUN-14            28480
23-JUN-14            29489
23-JUN-14            23991
23-JUN-14            24757
23-JUN-14            28522
23-JUN-14            25861
23-JUN-14            29472
23-JUN-14            27699
23-JUN-14            27037
23-JUN-14            25439
23-JUN-14            26489
23-JUN-14            26715
23-JUN-14            27396
23-JUN-14            25636
23-JUN-14            27102
23-JUN-14            30238
23-JUN-14            34561
23-JUN-14            33060
23-JUN-14            28107
23-JUN-14            28376
23-JUN-14            29640
23-JUN-14            33534
23-JUN-14            32839
23-JUN-14            30455
23-JUN-14            28792
23-JUN-14            33337
23-JUN-14            36585
23-JUN-14            32873
23-JUN-14            29783
23-JUN-14            29405
23-JUN-14            32977
23-JUN-14            31211
23-JUN-14            28937
