
METRICS_TIME         VALUE
--------------- ----------
25-JUN-14             74.9
25-JUN-14               77
25-JUN-14             76.1
25-JUN-14             77.3
25-JUN-14             76.3
25-JUN-14               77
25-JUN-14             76.7
25-JUN-14             73.2
25-JUN-14             73.5
25-JUN-14               73
25-JUN-14             75.4
25-JUN-14             76.1
25-JUN-14             76.8
25-JUN-14             68.9
25-JUN-14               72
25-JUN-14               74
25-JUN-14             72.5
25-JUN-14             75.6
25-JUN-14             75.6
25-JUN-14             73.2
25-JUN-14             69.8
25-JUN-14               73
25-JUN-14             73.4
25-JUN-14               75
25-JUN-14             73.8
25-JUN-14             75.7
25-JUN-14             76.8
25-JUN-14             78.6
25-JUN-14             78.2
25-JUN-14             76.1
25-JUN-14             76.2
25-JUN-14             71.7
25-JUN-14             74.9
25-JUN-14             77.2
25-JUN-14             76.2
25-JUN-14               71
25-JUN-14             71.9
25-JUN-14             71.6
25-JUN-14             67.3
25-JUN-14             67.1
25-JUN-14             72.6
25-JUN-14               72
25-JUN-14             72.8
25-JUN-14             75.8
25-JUN-14             74.8
25-JUN-14             74.2
25-JUN-14             69.7
25-JUN-14             71.9
25-JUN-14             71.4
25-JUN-14             69.3
25-JUN-14             72.1
25-JUN-14             76.6
25-JUN-14             73.9
25-JUN-14             76.1
25-JUN-14             74.8
25-JUN-14             75.4
25-JUN-14             75.2
25-JUN-14             75.1
25-JUN-14             70.8
25-JUN-14             74.7
25-JUN-14             74.5
25-JUN-14             72.6
25-JUN-14             72.7
25-JUN-14             75.4
25-JUN-14             73.8
25-JUN-14             73.9
25-JUN-14             72.8
25-JUN-14             69.9
25-JUN-14             70.5
25-JUN-14             75.2
25-JUN-14             74.4
25-JUN-14             72.1
25-JUN-14               71
25-JUN-14               69
25-JUN-14             72.5
25-JUN-14             64.2
25-JUN-14               71
25-JUN-14             70.6
25-JUN-14             66.6
25-JUN-14             69.6
25-JUN-14             65.1
25-JUN-14             68.9
25-JUN-14             74.8
25-JUN-14             71.3
25-JUN-14             72.9
25-JUN-14             72.2
25-JUN-14             73.3
25-JUN-14             72.3
25-JUN-14             73.7
25-JUN-14             73.6
25-JUN-14             70.1
25-JUN-14               67
25-JUN-14             66.3
25-JUN-14             67.8
25-JUN-14             66.7
25-JUN-14               63
25-JUN-14             69.8
25-JUN-14             68.7
25-JUN-14             71.8
25-JUN-14             71.5
25-JUN-14             67.9
25-JUN-14             68.2
25-JUN-14             70.2
25-JUN-14             71.8
25-JUN-14             69.8
25-JUN-14             69.3
25-JUN-14               70
25-JUN-14               69
25-JUN-14             70.8
25-JUN-14             68.9
25-JUN-14             66.6
25-JUN-14             64.6
25-JUN-14             65.1
25-JUN-14             60.9
25-JUN-14             70.1
25-JUN-14             70.2
25-JUN-14             69.9
25-JUN-14             72.2
25-JUN-14             71.8
25-JUN-14             66.2
25-JUN-14               65
25-JUN-14             66.8
25-JUN-14             69.1
25-JUN-14             71.7
25-JUN-14             69.5
25-JUN-14             67.3
25-JUN-14             69.7
25-JUN-14             68.5
25-JUN-14             73.3
25-JUN-14             73.7
25-JUN-14               71
25-JUN-14             71.9
25-JUN-14             71.1
25-JUN-14             71.9
25-JUN-14             74.3
25-JUN-14             73.4
25-JUN-14             73.7
25-JUN-14             75.8
25-JUN-14               77
25-JUN-14             76.8
25-JUN-14             76.8
25-JUN-14             76.9
25-JUN-14             77.8
25-JUN-14             75.4
25-JUN-14               74
25-JUN-14             73.5
25-JUN-14             74.9
25-JUN-14             76.6
25-JUN-14             78.9
25-JUN-14             81.4
25-JUN-14             79.3
25-JUN-14             80.7
25-JUN-14             80.9
25-JUN-14             79.7
25-JUN-14             78.5
25-JUN-14             82.2
25-JUN-14             82.2
25-JUN-14               80
25-JUN-14             76.9
25-JUN-14             79.5
25-JUN-14             79.3
25-JUN-14             77.6
25-JUN-14             77.9
25-JUN-14             76.7
25-JUN-14             77.7
25-JUN-14             78.5
25-JUN-14             81.2
25-JUN-14             83.2
25-JUN-14               81
25-JUN-14             82.8
25-JUN-14             81.6
25-JUN-14             84.1
25-JUN-14             79.8
25-JUN-14               81
25-JUN-14             76.5
25-JUN-14             78.2
25-JUN-14               77
25-JUN-14             80.2
25-JUN-14             78.7
25-JUN-14             82.6
25-JUN-14             80.6
25-JUN-14             82.7
25-JUN-14             84.3
25-JUN-14             82.3
25-JUN-14               80
25-JUN-14             81.2
25-JUN-14             84.1
25-JUN-14             84.2
25-JUN-14             83.1
25-JUN-14             83.6
25-JUN-14             84.1
25-JUN-14             83.5
25-JUN-14             82.1
25-JUN-14             83.1
25-JUN-14               84
25-JUN-14             80.8
25-JUN-14             83.3
25-JUN-14               83
25-JUN-14             83.5
25-JUN-14             82.2
25-JUN-14             83.3
25-JUN-14             81.9
25-JUN-14               83
25-JUN-14             79.4
25-JUN-14               83
25-JUN-14               86
25-JUN-14             82.4
25-JUN-14             85.6
25-JUN-14               79
25-JUN-14             79.5
25-JUN-14             76.9
25-JUN-14             79.9
25-JUN-14             82.9
25-JUN-14             84.2
25-JUN-14             84.9
25-JUN-14             85.1
25-JUN-14             85.6
25-JUN-14               85
25-JUN-14             83.6
25-JUN-14             85.4
25-JUN-14             84.1
25-JUN-14             84.9
25-JUN-14             83.8
25-JUN-14             80.4
25-JUN-14             83.3
25-JUN-14               81
25-JUN-14             82.7
25-JUN-14             82.1
25-JUN-14             83.6
25-JUN-14             83.2
25-JUN-14             82.9
25-JUN-14             84.4
25-JUN-14             84.1
25-JUN-14             84.6
25-JUN-14             80.5
25-JUN-14             84.5
25-JUN-14             82.4
25-JUN-14               82
25-JUN-14             79.7
26-JUN-14             79.6
26-JUN-14             78.7
26-JUN-14             70.9
26-JUN-14             73.2
26-JUN-14             82.2
26-JUN-14             83.6
26-JUN-14             81.8
26-JUN-14             83.1
26-JUN-14             82.6
26-JUN-14             82.4
26-JUN-14             83.6
26-JUN-14             81.4
26-JUN-14               81
26-JUN-14             82.3
26-JUN-14             80.7
26-JUN-14             81.2
26-JUN-14               79
26-JUN-14             78.1
26-JUN-14             78.3
26-JUN-14             78.5
26-JUN-14             74.1
26-JUN-14             77.8
26-JUN-14             76.5
26-JUN-14             79.4
26-JUN-14             80.8
26-JUN-14             77.1
26-JUN-14             79.4
26-JUN-14             77.9
26-JUN-14             78.9
26-JUN-14             79.3
26-JUN-14             78.9
26-JUN-14               77
26-JUN-14             78.4
26-JUN-14             74.7
26-JUN-14               74
26-JUN-14             72.4
26-JUN-14             73.6
26-JUN-14             75.4
26-JUN-14             72.5
26-JUN-14             74.1
26-JUN-14               77
26-JUN-14             76.9
26-JUN-14               72
26-JUN-14             76.9
26-JUN-14             77.2
26-JUN-14             78.7
26-JUN-14             75.5
26-JUN-14             78.4
26-JUN-14             80.6
26-JUN-14             77.2
26-JUN-14             75.2
26-JUN-14             78.6
26-JUN-14             76.3
26-JUN-14             73.8
26-JUN-14             75.8
26-JUN-14             74.7
26-JUN-14             77.1
26-JUN-14             76.9
26-JUN-14               77
26-JUN-14             78.9
26-JUN-14             78.8
26-JUN-14             79.4
26-JUN-14             76.5
26-JUN-14             79.2
26-JUN-14             76.9
26-JUN-14             72.6
26-JUN-14               73
26-JUN-14               74
26-JUN-14             71.8
26-JUN-14             71.5
26-JUN-14             76.4
26-JUN-14             74.5
26-JUN-14             77.9
26-JUN-14               76
26-JUN-14             73.2
26-JUN-14             76.7
26-JUN-14             75.5
26-JUN-14             78.7
26-JUN-14             76.4
26-JUN-14             76.1
26-JUN-14             76.8
26-JUN-14             78.3
26-JUN-14             75.1
26-JUN-14             76.8
26-JUN-14             74.6
26-JUN-14             74.7
26-JUN-14             72.6
26-JUN-14             72.6
26-JUN-14             69.4
26-JUN-14             70.2
26-JUN-14             75.7
26-JUN-14             76.3
26-JUN-14             75.4
26-JUN-14             75.1
26-JUN-14             73.8
26-JUN-14             73.4
26-JUN-14             73.8
26-JUN-14             75.6
26-JUN-14             71.6
26-JUN-14             73.5
26-JUN-14             75.2
26-JUN-14             74.1
26-JUN-14               72
26-JUN-14             72.5
26-JUN-14             68.7
26-JUN-14             69.9
26-JUN-14             70.9
26-JUN-14             65.5
26-JUN-14             69.3
26-JUN-14             67.3
26-JUN-14             71.7
26-JUN-14             72.1
26-JUN-14             73.8
26-JUN-14             74.8
26-JUN-14               73
26-JUN-14             71.1
26-JUN-14             69.9
26-JUN-14               70
26-JUN-14             70.4
26-JUN-14             69.8
26-JUN-14             65.6
26-JUN-14               70
26-JUN-14             65.5
26-JUN-14               66
26-JUN-14             70.1
26-JUN-14             69.6
26-JUN-14             73.4
26-JUN-14             70.7
26-JUN-14             72.8
26-JUN-14             71.7
26-JUN-14             74.7
26-JUN-14             73.4
26-JUN-14             71.6
26-JUN-14             71.2
26-JUN-14             67.6
26-JUN-14             61.9
26-JUN-14             60.8
26-JUN-14             63.3
26-JUN-14             71.1
26-JUN-14             69.1
26-JUN-14             71.2
26-JUN-14             74.2
26-JUN-14             69.6
26-JUN-14             72.1
26-JUN-14             71.7
26-JUN-14             68.5
26-JUN-14             71.6
26-JUN-14             72.7
26-JUN-14             72.2
26-JUN-14             73.9
26-JUN-14             69.9
26-JUN-14             70.6
26-JUN-14             70.4
26-JUN-14             68.9
26-JUN-14             70.6
26-JUN-14             74.2
26-JUN-14             73.3
26-JUN-14             72.2
26-JUN-14             72.8
26-JUN-14             74.7
26-JUN-14             74.2
26-JUN-14               75
26-JUN-14             76.3
26-JUN-14               77
26-JUN-14             75.3
26-JUN-14             73.3
26-JUN-14             78.2
26-JUN-14             75.3
26-JUN-14               74
26-JUN-14               78
26-JUN-14             77.1
26-JUN-14             77.9
26-JUN-14             75.2
26-JUN-14             76.7
26-JUN-14             77.3
26-JUN-14             74.6
26-JUN-14             73.3
26-JUN-14             79.7
26-JUN-14             80.9
26-JUN-14             75.7
26-JUN-14             79.1
26-JUN-14             80.9
26-JUN-14             80.9
26-JUN-14               80
26-JUN-14             79.8
