METRICS_TIME         VALUE
--------------- ----------
25-JUN-14            32.51
25-JUN-14            32.52
25-JUN-14            41.97
25-JUN-14            27.16
25-JUN-14            34.56
25-JUN-14            37.44
25-JUN-14            44.05
25-JUN-14            36.29
25-JUN-14            30.41
25-JUN-14            26.33
25-JUN-14            31.98
25-JUN-14            25.98
25-JUN-14            27.16
25-JUN-14            29.14
25-JUN-14               26
25-JUN-14            35.36
25-JUN-14            31.17
25-JUN-14            35.31
25-JUN-14            32.54
25-JUN-14            45.13
25-JUN-14            33.95
25-JUN-14            30.72
25-JUN-14            35.74
25-JUN-14            28.08
25-JUN-14            27.77
25-JUN-14            25.36
25-JUN-14            29.24
25-JUN-14            29.02
25-JUN-14            37.89
25-JUN-14            31.42
25-JUN-14            43.54
25-JUN-14            33.16
25-JUN-14            32.92
25-JUN-14            46.93
25-JUN-14             40.6
25-JUN-14            37.04
25-JUN-14            48.12
25-JUN-14            33.12
25-JUN-14            31.39
25-JUN-14            29.19
25-JUN-14            35.14
25-JUN-14            29.35
25-JUN-14            49.94
25-JUN-14            44.98
25-JUN-14            38.15
25-JUN-14            35.68
25-JUN-14            43.87
25-JUN-14            39.64
25-JUN-14            33.58
25-JUN-14            35.54
25-JUN-14            31.66
25-JUN-14            31.08
25-JUN-14            36.44
25-JUN-14            41.41
25-JUN-14            33.33
25-JUN-14            30.22
25-JUN-14            31.62
25-JUN-14            30.22
25-JUN-14            28.92
25-JUN-14            32.42
25-JUN-14            32.73
25-JUN-14            26.54
25-JUN-14             32.2
25-JUN-14            36.72
25-JUN-14             34.2
25-JUN-14            25.78
25-JUN-14            34.69
25-JUN-14               31
25-JUN-14            34.11
25-JUN-14            33.96
25-JUN-14            30.96
25-JUN-14            30.12
25-JUN-14            44.45
25-JUN-14            33.29
25-JUN-14            33.92
25-JUN-14            40.98
25-JUN-14               42
25-JUN-14            39.87
25-JUN-14            33.24
25-JUN-14            36.02
25-JUN-14            33.83
25-JUN-14            33.24
25-JUN-14            34.08
25-JUN-14            32.79
25-JUN-14            33.28
25-JUN-14            36.19
25-JUN-14            29.69
25-JUN-14             42.2
25-JUN-14            37.52
25-JUN-14            42.22
25-JUN-14            40.43
25-JUN-14            41.59
25-JUN-14            41.27
25-JUN-14            39.61
25-JUN-14            35.62
25-JUN-14            35.48
25-JUN-14            35.35
25-JUN-14            44.36
25-JUN-14            35.42
25-JUN-14            31.18
25-JUN-14            33.42
25-JUN-14            39.34
25-JUN-14            34.62
25-JUN-14            32.61
25-JUN-14             37.8
25-JUN-14             34.6
25-JUN-14            38.68
25-JUN-14            47.96
25-JUN-14            42.81
25-JUN-14            42.59
25-JUN-14             48.2
25-JUN-14            35.71
25-JUN-14            34.49
25-JUN-14            39.82
25-JUN-14            32.66
25-JUN-14             39.1
25-JUN-14            38.53
25-JUN-14            32.62
25-JUN-14            34.48
25-JUN-14            33.98
25-JUN-14            36.85
25-JUN-14            38.39
