METRICS_TIME VALUE
1406710026 202996
1406710035 223508
1406710046 224763
1406710056 236262
1406710065 233526
1406710075 221852
1406710085 212257
1406710095 194183
1406710105 191354
1406710114 218867
1406710126 219795
1406710136 213708
1406710145 201359
1406710156 202196
1406710165 207240
1406710175 195934
1406710186 198583
1406710195 205892
1406710205 195984
1406710215 218729
1406710225 221396
1406710236 193339
1406710244 214646
1406710256 210064
1406710264 209593
1406710275 213624
1406710286 226801
1406710295 235336
1406710306 233518
1406710316 213680
1406710325 209793
1406710335 228529
1406710346 239332
1406710356 270339
1406710366 285532
1406710376 265769
1406710386 266852
1406710397 274590
1406710407 274454
1406710418 253518
1406710428 234188
1406710438 230441
1406710448 243617
1406710458 213164
1406710468 207241
1406710478 228951
1406710488 235708
1406710497 248854
1406710508 272430
1406710517 301048
1406710529 301034
1406710538 270115
1406710549 224143
1406710558 221084
1406710569 224063
1406710578 222879
1406710588 220604
1406710597 216158
1406710609 187520
1406710617 191970
1406710629 181251
1406710638 205029
1406710648 191285
1406710659 192107
1406710668 176275
1406710678 163377
1406710688 165833
1406710698 173373
1406710709 179633
1406710718 186655
1406710727 186781
1406710738 167751
1406710747 167725
1406710759 169222
1406710768 165734
1406710778 165807
1406710788 198957
1406710798 259494
1406710809 203203
1406710819 211595
1406710829 200542
1406710839 193252
1406710848 187315
1406710858 194425
1406710869 188238
1406710879 173496
1406710889 182470
1406710899 213134
1406710910 229531
1406710919 218810
1406710933 189458
1406710942 172040
1406710950 170163
1406710960 180334
1406710969 192369
1406710978 195888
1406710991 185431
1406711000 159334
1406711009 156632
1406711018 149773
1406711030 162414
1406711038 195116
1406711049 205079
1406711059 187584
1406711069 199392
1406711078 211489
1406711090 257931
1406711099 242868
1406711111 247024
1406711121 262790
1406711131 280457
1406711142 270744
1406711152 286405
1406711164 345456
1406711174 293450
1406711185 255951
1406711195 248756
1406711205 262950
1406711214 279546
1406711225 290454
1406711236 334080
1406711247 354161
1406711257 305448
1406711267 301918
1406711277 317237
1406711288 296151
1406711298 338491
1406711310 400039
1406711322 391092
1406711334 379552
1406711345 323220
1406711355 331082
1406711366 366148
1406711377 366095
1406711388 336280
1406711399 305598
1406711412 289395
1406711423 256812
1406711432 220928
1406711442 193340
1406711452 183065
1406711462 177398
1406711472 177348
1406711482 177233
1406711492 172090
1406711502 210344
1406711510 201134
1406711522 166590
1406711531 163798
1406711541 183259
1406711552 201347
1406711562 203727
1406711572 216565
1406711581 230457
1406711592 294191
1406711602 359990
1406711612 350520
1406711621 292089
1406711632 248994
1406711642 224960
1406711651 226089
1406711662 260991
1406711672 290842
1406711683 375310
1406711693 445585
1406711704 450358
1406711715 421308
1406711726 390077
1406711736 390578
1406711747 378086
1406711757 366590
1406711768 358356
1406711779 376433
1406711791 394806
1406711802 347823
1406711813 272796
1406711823 246609
1406711833 289344
1406711844 318013
1406711855 326983
1406711866 300069
1406711877 289227
1406711888 289842
1406711899 294882
1406711909 292902
1406711920 332966
1406711931 315718
1406711941 344211
1406711952 326716
1406711963 306242
1406711974 308468
1406711985 322069
1406711995 323004
1406712006 334364
1406712017 327877
1406712028 269035
1406712038 265503
1406712049 307242
1406712059 435429
1406712072 461789
1406712083 481517
1406712093 457191
1406712104 470287
1406712116 429051
1406712127 293412
1406712136 256548
1406712147 227684
1406712157 227400
1406712168 217779
1406712178 238829
1406712189 248843
1406712199 282171
1406712209 281415
1406712220 235348
1406712230 221726
1406712241 204052
1406712251 190597
1406712261 186233
1406712270 191698
1406712281 198556
1406712290 196018
1406712300 217001
1406712313 213630
1406712323 227033
1406712332 249360
1406712341 238437
1406712352 202002
1406712361 179736
1406712371 178854
1406712381 176300
1406712391 195346
1406712401 195186
1406712410 196125
1406712422 199094
1406712430 208421
1406712442 203569
1406712451 212214
1406712462 200922
1406712472 204605
1406712481 212077
1406712491 191959
1406712502 178530
1406712512 196394
1406712521 212154
1406712541 207274
1406712551 198943
1406712562 188991
1406712571 189481
1406712581 191509
1406712591 210665
1406712602 215818
1406712611 237992
1406712622 283728
1406712633 294982
1406712642 249174
1406712653 195555
1406712662 182165
1406712672 177396
1406712681 194483
1406712693 197395
1406712702 208471
1406712713 204390
1406712723 207677
1406712732 187439
1406712743 191211
1406712752 201327
1406712763 211890
1406712771 228534
1406712783 226435
1406712793 210943
1406712802 193334
1406712812 176743
1406712822 187610
1406712832 177903
1406712843 177692
1406712852 198357
1406712862 167872
1406712872 176749
1406712882 197102
1406712892 212070
1406712903 248090
1406712914 246737
1406712923 240285
1406712933 241030
1406712943 235369
1406712955 236629
1406712963 237318
1406712975 215681
1406712984 251653
1406712995 282606
1406713004 253854
1406713015 211439
1406713024 187487
1406713035 200027
1406713044 235717
1406713056 284969
1406713067 345989
1406713078 357527
1406713089 317182
1406713100 317082
1406713110 350112
1406713121 348035
1406713132 337817
1406713143 315110
1406713153 312964
1406713164 331616
1406713174 285132
1406713184 225680
1406713193 259217
1406713205 385808
1406713216 463666
1406713228 447257
1406713239 348396
1406713249 279826
1406713259 260003
1406713269 256873
1406713281 253927
1406713291 248089
1406713300 243107
1406713311 231930
1406713320 215514
1406713332 199723
1406713341 200453
1406713350 203345
1406713359 184556
1406713371 169779
1406713379 167687
1406713391 183209
1406713400 184952
1406713411 189653
1406713421 217947
1406713432 235386
1406713442 251233
1406713453 246364
1406713463 234253
1406713474 245102
1406713484 257363
1406713495 272648
1406713506 281989
1406713517 277076
1406713528 279960
1406713540 267188
1406713550 269841
1406713562 321184
1406713587 377829
1406713599 375070
1406713611 364905
1406713623 338989
1406713634 319979
1406713645 323583
1406713657 375065
1406713668 360930
1406713679 347671
1406713693 308051
1406713705 289983
1406713713 291147
1406713724 293667
1406713734 289534
1406713745 290791
1406713757 296708
1406713768 285708
1406713779 271252
1406713789 257442
1406713799 269780
1406713809 266138
1406713819 255006
1406713830 268989
1406713840 235132
1406713850 248114
1406713861 265510
1406713871 258793
1406713881 255314
1406713891 243282
1406713901 193895
1406713910 165518
1406713922 262657
1406713932 212826
1406713942 209198
1406713952 222795
1406713962 233277
1406713973 272697
1406713983 251229
1406713993 255489
1406714004 263449
1406714014 259850
1406714025 253387
1406714036 249819
1406714047 231336
1406714056 218825
1406714068 234621
1406714079 256729
1406714088 217936
1406714100 210252
1406714109 238975
1406714120 227921
1406714130 220546
1406714140 213520
1406714150 211911
1406714161 250227
1406714171 242216
1406714182 236224
1406714191 240600
1406714201 224491
1406714212 221269
1406714221 208271
1406714233 195840
1406714243 197198
1406714252 199142
1406714262 225964
1406714271 217390
1406714283 223118
1406714293 190941
1406714303 200992
1406714313 206769
1406714323 195057
1406714333 193331
1406714342 210772
1406714353 184546
1406714363 207760
1406714372 205473
1406714383 194712
1406714391 191257
1406714402 182811
1406714413 190026
1406714425 224255
1406714434 221607
1406714444 208188
1406714453 224165
1406714464 227087
1406714481 257097
1406714485 303318
1406714496 333535
1406714506 343755
1406714519 318239
1406714530 285450
1406714541 253730
1406714552 267770
1406714561 295888
1406714572 312455
1406714582 334972
1406714593 323196
1406714603 294395
1406714613 285923
1406714623 244163
1406714634 261722
1406714644 296223
1406714655 334526
1406714667 409590
1406714679 352160
1406714691 362305
1406714701 371266
1406714714 379757
1406714744 405378
1406714748 403470
1406714759 410076
1406714771 431657
1406714783 437221
1406714796 466507
1406714808 420884
1406714820 423610
1406714854 447655
1406714857 443635
1406714869 430645
1406714881 416986
1406714892 417867
1406714960 525999
1406714971 613935
1406714992 655060
1406715002 641646
1406715021 599430
1406715030 548254
1406715049 475352
1406715053 453717
1406715064 387674
1406715076 323203
1406715086 298081
1406715097 296506
1406715108 310654
1406715120 313057
1406715130 299155
1406715141 304987
1406715152 349614
1406715163 369611
1406715174 360858
1406715184 324231
1406715195 291706
1406715205 276715
1406715215 255706
1406715225 271017
1406715236 335070
1406715247 350003
1406715258 327332
1406715268 320666
1406715279 326584
1406715290 333935
1406715301 307518
1406715312 345783
1406715324 283316
1406715334 300996
1406715345 298594
1406715355 278327
1406715366 268576
1406715377 251224
1406715387 221823
1406715398 225214
1406715409 251745
1406715420 266172
1406715433 284516
1406715443 293936
1406715454 348968
1406715465 294454
1406715476 282596
1406715487 282939
1406715498 282081
1406715510 291581
1406715520 311170
1406715532 317983
1406715543 318626
1406715554 287031
1406715566 300628
1406715576 258956
1406715587 253950
1406715598 250899
1406715608 248955
1406715619 230248
1406715630 207803
1406715639 205368
1406715651 196830
1406715660 188547
1406715671 173978
1406715680 170200
1406715691 163732
1406715699 186866
1406715712 167594
1406715721 175989
1406715732 188047
1406715740 189516
1406715752 184871
1406715762 188254
1406715773 192171
1406715782 186024
1406715793 180854
1406715803 223164
1406715815 225519
1406715824 219694
1406715835 220455
1406715844 216045
1406715856 234615
1406715865 242522
1406715877 244243
1406715888 228256
1406715898 255572
1406715908 174772
1406715918 166121
1406715928 173516
1406715938 172845
1406715948 165842
1406715958 173748
1406715968 174910
1406715978 165439
1406715988 164039
1406715997 172259
1406716007 178716
1406716018 183240
1406716027 182151
1406716037 188092
1406716047 169466
1406716057 176458
1406716067 186258
1406716078 175053
1406716087 173350
1406716098 179595
1406716108 185782
1406716117 196779
1406716128 212900
1406716137 224765
1406716148 218422
1406716158 231949
1406716168 269876
1406716177 288503
1406716189 207365
1406716198 207220
1406716210 205656
1406716220 206015
1406716230 223684
1406716239 248025
1406716250 267649
1406716261 271779
1406716271 253903
1406716281 228318
1406716291 224537
1406716301 228230
1406716310 227047
1406716320 223730
1406716331 214983
1406716341 218026
1406716352 217547
1406716362 203448
1406716371 227746
1406716383 266611
1406716394 221133
1406716404 212569
1406716414 194355
1406716424 181986
1406716434 187814
1406716442 177505
1406716454 150285
1406716463 150730
1406716474 163354
1406716483 184947
1406716493 204842
1406716504 207076
1406716513 226876
1406716524 230584
1406716535 259308
1406716545 240091
1406716554 209598
1406716565 190106
1406716575 182112
1406716585 179362
1406716596 202475
1406716605 181780
1406716616 162712
1406716626 170975
1406716635 189068
1406716646 236433
1406716656 217757
1406716666 199504
1406716676 245284
1406716685 239400
1406716697 212436
1406716707 190847
1406716716 197432
1406716727 180592
1406716737 171020
1406716746 182787
1406716756 205408
1406716767 209410
1406716778 237195
1406716788 236607
1406716798 237044
1406716808 249587
1406716818 189707
1406716828 215297
1406716838 204823
1406716848 183649
1406716857 199229
1406716868 187770
1406716878 203353
1406716887 194811
1406716897 161156
1406716908 153622
1406716918 162322
1406716926 173990
1406716937 192679
1406716948 201741
1406716957 211020
1406716968 231610
1406716976 222709
1406716988 219242
1406716996 196421
1406717008 176325
1406717018 166330
1406717027 174796
1406717037 176356
1406717047 186095
1406717057 197758
1406717068 183517
1406717077 195941
1406717088 207436
1406717097 240554
1406717107 269323
1406717118 240332
1406717129 245511
1406717138 241348
1406717149 252374
1406717158 247653
1406717169 229400
1406717178 209106
1406717188 216417
1406717198 236240
1406717208 268344
1406717217 293555
1406717229 293386
1406717237 348610
1406717250 370874
1406717259 384857
1406717270 356943
1406717280 345078
1406717293 395303
1406717303 423941
1406717315 391322
1406717325 309246
1406717335 256380
1406717346 280833
1406717356 273850
1406717366 253894
1406717376 239755
1406717386 274023
1406717396 323063
1406717406 359460
1406717417 301053
1406717429 275545
1406717439 222516
1406717448 211431
1406717459 222439
1406717468 201883
1406717479 202403
1406717488 216482
1406717499 223684
1406717508 218556
1406717519 220033
1406717529 202672
1406717539 167747
1406717549 228597
1406717559 208377
1406717568 190575
1406717579 187783
1406717588 205123
1406717600 203888
1406717610 203783
1406717620 207256
1406717630 209238
1406717640 229146
1406717650 254298
1406717660 281969
1406717670 301768
1406717681 346882
1406717692 350159
1406717702 290000
1406717713 259826
1406717724 282190
1406717735 325312
