METRICS_TIME VALUE
1406710026 5431
1406710035 5669
1406710046 5728
1406710056 5181
1406710065 6123
1406710075 5870
1406710085 6008
1406710095 5570
1406710105 5384
1406710114 5795
1406710126 5738
1406710136 5705
1406710145 5798
1406710156 5824
1406710165 5653
1406710175 6030
1406710186 5917
1406710195 5897
1406710205 6115
1406710215 5936
1406710225 6027
1406710236 6347
1406710244 6325
1406710256 5750
1406710264 5941
1406710275 6433
1406710286 6393
1406710295 6651
1406710306 6316
1406710316 5691
1406710325 5663
1406710335 6618
1406710346 6092
1406710356 6831
1406710366 6969
1406710376 6263
1406710386 6240
1406710397 6952
1406710407 6699
1406710418 6985
1406710428 6569
1406710438 6688
1406710448 7285
1406710458 5992
1406710468 5825
1406710478 5898
1406710488 6311
1406710497 8386
1406710508 6093
1406710517 7171
1406710529 6486
1406710538 6264
1406710549 5711
1406710558 5546
1406710569 5629
1406710578 5651
1406710588 5813
1406710597 5985
1406710609 5845
1406710617 5772
1406710629 5886
1406710638 5704
1406710648 5852
1406710659 5754
1406710668 6577
1406710678 7323
1406710688 6022
1406710698 5978
1406710709 5772
1406710718 5638
1406710727 5516
1406710738 5695
1406710747 5715
1406710759 5660
1406710768 6135
1406710778 6662
1406710788 7755
1406710798 6342
1406710809 5796
1406710819 6063
1406710829 6326
1406710839 6390
1406710848 6397
1406710858 6194
1406710869 5992
1406710879 6306
1406710889 7428
1406710899 8669
1406710910 7950
1406710919 7067
1406710933 6093
1406710942 5981
1406710950 5787
1406710960 5805
1406710969 6800
1406710978 7323
1406710991 5633
1406711000 5646
1406711009 5614
1406711018 6592
1406711030 6740
1406711038 6568
1406711049 6639
1406711059 6588
1406711069 7533
1406711078 8300
1406711090 7671
1406711099 7591
1406711111 8346
1406711121 9394
1406711131 8118
1406711142 8724
1406711152 9079
1406711164 9950
1406711174 7280
1406711185 6464
1406711195 7221
1406711205 6273
1406711214 7185
1406711225 9227
1406711236 10406
1406711377 8583
1406711388 8926
1406711398 7422
1406711423 6755
1406711432 6587
1406711442 6409
1406711452 6094
1406711462 6818
1406711472 7897
1406711482 7524
1406711492 9411
1406711502 7724
1406711510 7582
1406711522 6412
1406711531 5919
1406711541 6052
1406711552 5939
1406711562 6708
1406711572 7023
1406711581 7326
1406711592 8309
1406711602 9244
1406711612 8727
1406711621 8138
1406711632 6959
1406711642 6710
1406711651 7018
1406711662 7798
1406711672 8427
1406711683 10057
1406711693 10742
1406711704 9908
1406711715 8884
1406711726 8538
1406711736 8642
1406711747 8377
1406711757 8568
1406711768 8364
1406711779 10179
1406711791 9286
1406711802 8311
1406711813 6832
1406711823 6426
1406711833 7519
1406711844 7859
1406711866 8044
1406711877 7731
1406711888 7380
1406711899 7303
1406711909 7717
1406711920 7596
1406711931 6843
1406711941 7283
1406711952 7083
1406711963 7134
1406711974 7576
1406711985 8080
1406711995 7966
1406712006 8322
1406712017 8055
1406712028 6531
1406712038 6653
1406712049 7465
1406712059 8569
1406712072 9296
1406712083 9344
1406712093 9588
1406712104 10765
1406712116 10597
1406712127 6686
1406712136 6225
1406712147 6516
1406712157 6370
1406712168 6360
1406712178 6497
1406712189 6510
1406712199 6609
1406712209 6576
1406712220 6693
1406712230 6668
1406712241 7050
1406712251 8125
1406712261 9138
1406712270 9013
1406712281 9127
1406712290 7059
1406712300 7244
1406712313 6111
1406712323 6791
1406712332 7451
1406712341 8885
1406712352 9370
1406712361 10094
1406712371 10146
1406712381 10166
1406712391 10367
1406712401 10062
1406712410 9709
1406712422 9131
1406712430 9449
1406712442 8620
1406712451 6929
1406712462 6202
1406712472 6144
1406712481 6670
1406712491 6621
1406712502 5767
1406712512 5585
1406712521 5767
1406712532 5656
1406712541 6003
1406712551 5958
1406712562 5968
1406712571 6112
1406712581 6545
1406712591 6863
1406712602 6653
1406712611 7355
1406712622 7618
1406712633 7406
1406712642 6744
1406712653 6266
1406712662 6308
1406712672 6333
1406712681 6590
1406712693 6301
1406712702 6213
1406712713 5605
1406712723 5329
1406712732 5581
1406712743 5641
1406712752 5736
1406712763 9168
1406712771 6407
1406712783 8396
1406712793 7577
1406712802 6868
1406712812 6297
1406712822 7109
1406712832 7202
1406712843 7036
1406712852 6952
1406712862 6874
1406712872 7450
1406712882 7758
1406712892 8565
1406712903 9221
1406712914 9621
1406712923 9433
1406712933 9000
1406712943 7865
1406712955 8567
1406712963 7870
1406712975 6839
1406712984 7102
1406712995 7461
1406713004 6521
1406713015 5958
1406713024 6084
1406713035 6750
1406713044 7658
1406713056 8305
1406713067 13507
1406713078 7919
1406713089 7231
1406713100 7747
1406713110 8178
1406713121 8595
1406713132 9299
1406713143 9809
1406713153 10751
1406713164 11148
1406713174 10330
1406713184 12038
1406713193 12846
1406713205 10962
1406713216 11132
1406713228 8992
1406713239 7745
1406713249 7952
1406713259 6866
1406713269 6207
1406713281 6670
1406713291 6568
1406713300 5849
1406713311 5596
1406713320 5479
1406713332 5378
1406713341 5228
1406713350 5223
1406713359 5197
1406713371 5251
1406713379 5455
1406713391 5352
1406713400 6607
1406713411 10212
1406713421 14648
1406713432 18822
1406713442 21301
1406713453 21556
1406713463 23845
1406713474 25257
1406713484 26727
1406713495 27680
1406713506 29665
1406713517 31347
1406713528 31741
1406713539 33278
1406713550 34979
1406713562 36963
1406713587 39406
1406713599 40470
1406713611 38998
1406713623 34488
1406713634 30205
1406713645 27759
1406713657 22146
1406713668 19921
1406713679 18813
1406713693 17633
1406713705 16274
1406713713 14806
1406713724 12624
1406713734 11404
1406713745 11416
1406713757 10098
1406713768 8878
1406713789 7223
1406713799 6976
1406713809 6497
1406713819 6399
1406713830 6286
1406713840 5998
1406713850 6063
1406713861 6242
1406713871 6399
1406713881 6280
1406713891 6307
1406713901 6492
1406713910 6493
1406713922 6306
1406713932 6406
1406713942 6301
1406713952 6466
1406713962 6529
1406713973 10605
1406713983 6082
1406713993 6388
1406714004 6154
1406714014 5823
1406714025 6141
1406714036 6117
1406714047 5688
1406714056 5593
1406714068 6258
1406714079 6644
1406714088 5659
1406714100 6161
1406714109 6151
1406714120 6103
1406714130 6700
1406714140 6318
1406714150 6663
1406714161 5909
1406714171 5659
1406714182 5716
1406714191 6149
1406714201 6116
1406714212 5931
1406714221 5758
1406714233 5501
1406714243 6151
1406714252 6054
1406714262 6111
1406714271 6353
1406714283 6385
1406714293 6397
1406714303 6339
1406714313 6111
1406714323 5705
1406714333 5651
1406714342 5496
1406714353 5744
1406714363 6040
1406714372 5763
1406714383 5426
1406714391 5662
1406714402 5657
1406714413 5793
1406714425 5771
1406714434 6014
1406714444 6428
1406714453 7918
1406714464 6010
1406714481 7905
1406714485 9173
1406714496 10943
1406714506 11215
1406714519 9249
1406714530 7876
1406714541 8106
1406714552 8083
1406714561 8293
1406714572 9644
1406714582 8523
1406714593 8491
1406714603 8166
1406714613 7605
1406714623 7010
1406714634 7871
1406714644 9215
1406714655 10531
1406714667 10617
1406714679 10043
1406714691 9312
1406714701 9593
1406714714 10188
1406714744 9811
1406714748 9976
1406714759 10811
1406714771 11902
1406714783 12521
1406714796 13017
1406714808 12485
1406714820 15526
1406714854 12473
1406714857 12383
1406714869 11846
1406715053 8441
1406715064 8088
1406715076 7802
1406715086 7894
1406715097 8243
1406715108 8256
1406715120 7877
1406715130 7850
1406715141 8490
1406715152 9251
1406715163 9712
1406715174 9327
1406715184 7431
1406715195 7249
1406715205 8343
1406715215 10354
1406715225 12191
1406715236 7850
1406715247 8133
1406715258 8185
1406715268 8033
1406715279 11538
1406715290 11011
1406715301 11353
1406715312 10084
1406715324 9025
1406715334 8621
1406715345 7883
1406715355 7525
1406715366 7388
1406715377 7719
1406715387 8013
1406715398 8026
1406715409 7340
1406715420 7229
1406715433 9961
1406715443 12145
1406715454 7163
1406715465 7233
1406715476 7121
1406715487 7329
1406715498 7419
1406715510 7437
1406715520 7998
1406715543 8607
1406715554 7797
1406715566 7559
1406715576 7798
1406715587 8027
1406715598 7821
1406715608 7925
1406715619 7578
1406715630 7117
1406715639 6713
1406715651 6538
1406715660 6254
1406715671 6415
1406715680 6259
1406715691 6780
1406715699 7031
1406715712 6488
1406715721 6614
1406715732 6469
1406715740 6511
