METRICS_TIME VALUE
1406710026 219249
1406710035 219312
1406710046 219205
1406710056 232332
1406710065 237456
1406710075 237988
1406710085 239687
1406710095 235975
1406710105 233979
1406710114 249055
1406710126 244780
1406710136 243840
1406710145 243640
1406710156 249150
1406710165 253455
1406710175 259872
1406710186 257685
1406710195 253566
1406710205 251050
1406710215 237376
1406710225 231337
1406710236 216735
1406710244 227984
1406710256 210958
1406710264 216117
1406710275 228722
1406710286 223986
1406710295 228881
1406710306 229712
1406710316 217815
1406710325 219200
1406710335 241266
1406710346 269059
1406710356 291844
1406710366 304992
1406710376 294831
1406710386 297189
1406710397 306934
1406710407 303333
1406710418 311399
1406710428 305148
1406710438 285263
1406710448 271637
1406710458 275705
1406710468 270666
1406710478 266454
1406710488 256865
1406710497 279300
1406710508 274795
1406710517 280196
1406710529 302376
1406710538 289434
1406710549 263370
1406710558 259262
1406710569 253617
1406710578 265458
1406710588 268760
1406710597 259461
1406710609 244642
1406710617 253251
1406710629 244544
1406710638 249153
1406710648 244381
1406710659 240148
1406710668 243257
1406710678 248218
1406710688 238633
1406710698 235740
1406710709 229233
1406710718 243703
1406710727 242047
1406710738 246216
1406710747 254671
1406710759 247050
1406710768 236349
1406710778 227906
1406710788 234793
1406710798 247594
1406710809 235688
1406710819 238450
1406710829 242614
1406710839 237155
1406710848 234099
1406710858 226934
1406710869 225300
1406710879 229053
1406710889 241651
1406710899 261384
1406710910 283930
1406710919 289582
1406710933 260118
1406710942 252823
1406710950 253523
1406710960 264375
1406710969 264922
1406710978 252816
1406710991 227807
1406711000 225165
1406711009 212684
1406711018 208133
1406711030 203061
1406711038 223136
1406711049 227660
1406711059 220721
1406711069 233265
1406711078 244795
1406711090 259007
1406711099 261517
1406711111 258002
1406711121 260446
1406711131 305655
1406711142 312252
1406711152 319158
1406711164 346124
1406711174 338696
1406711185 313388
1406711195 283815
1406711205 286593
1406711214 290122
1406711225 286324
1406711236 306345
1406711247 324115
1406711257 303917
1406711267 293805
