METRICS_TIME VALUE
1406710026 20733
1406710035 17034
1406710046 16981
1406710056 18790
1406710065 18765
1406710075 17276
1406710085 19186
1406710095 16975
1406710105 16656
1406710114 16818
1406710126 17377
1406710136 17855
1406710145 15819
1406710156 14927
1406710165 16269
1406710175 14464
1406710186 14884
1406710195 16036
1406710205 17390
1406710215 13721
1406710225 17870
1406710236 14002
1406710244 16539
1406710256 14141
1406710264 14301
1406710275 15000
1406710286 18455
1406710295 20151
1406710306 22951
1406710316 20262
1406710325 16541
1406710335 19381
1406710346 18116
1406710356 19957
1406710366 19413
1406710376 18627
1406710386 18743
1406710397 18586
1406710407 26595
1406710418 23907
1406710428 22352
1406710438 22086
1406710448 23871
1406710458 18525
1406710468 17500
1406710478 17726
1406710488 19842
1406710497 21746
1406710508 22748
1406710517 23203
1406710529 30966
1406710538 26724
1406710549 21683
1406710558 22028
1406710569 20617
1406710578 20683
1406710588 21623
1406710597 21753
1406710609 17553
1406710617 15106
1406710629 13746
1406710638 15576
1406710648 12499
1406710659 12799
1406710668 12272
1406710678 12287
1406710688 11430
1406710698 12258
1406710709 12892
1406710718 14922
1406710727 15778
1406710738 17279
1406710747 18231
1406710759 19119
1406710768 17674
1406710778 17221
1406710788 21173
1406710798 19767
1406710809 22151
1406710819 24646
1406710829 25597
1406710839 26905
1406710848 24552
1406710858 19745
1406710869 17020
1406710879 22958
1406710889 20182
1406710899 17083
1406710910 17478
1406710919 18078
1406710933 16298
1406710942 16298
1406710950 17201
1406710960 18301
1406710969 16316
1406710978 14345
1406710991 14333
1406711000 14337
1406711009 14548
1406711018 17637
1406711030 17849
1406711038 18675
1406711049 18234
1406711059 16809
1406711069 16680
1406711078 17252
1406711090 16059
1406711099 24007
1406711111 21079
1406711121 18497
1406711131 20746
1406711142 18704
1406711152 19372
1406711164 19730
1406711174 24281
1406711185 21786
1406711195 20833
1406711205 23358
1406711214 25155
1406711225 25759
1406711236 28850
1406711247 29792
1406711257 30745
1406711267 28297
1406711277 30643
1406711288 27398
1406711298 32710
1406711310 39080
1406711322 32435
1406711334 35567
1406711345 29943
1406711355 25119
1406711366 31825
1406711377 32059
1406711388 30833
1406711398 33597
1406711412 32296
1406711423 26403
1406711432 23710
1406711442 17970
1406711452 15040
1406711462 14278
1406711472 15617
1406711482 14476
1406711492 15463
1406711502 18323
1406711510 18591
1406711522 13884
1406711531 14095
1406711541 17275
1406711552 18176
1406711562 16228
1406711572 17256
1406711581 18818
1406711592 22287
1406711602 25696
1406711612 25158
1406711632 21647
1406711642 19592
1406711651 17653
1406711662 19447
1406711672 26590
1406711683 32396
1406711693 39586
1406711704 43795
1406711715 42123
1406711726 41267
1406711736 37176
1406711747 37940
1406711757 38939
1406711768 37974
1406711779 36487
1406711791 41927
