METRICS_TIME VALUE
1406710026 182304
1406710035 172174
1406710046 178630
1406710056 187639
1406710065 208828
1406710075 211074
1406710085 183787
1406710095 184150
1406710105 191788
1406710114 194344
1406710126 193911
1406710136 195722
1406710145 189729
1406710156 191641
1406710165 197116
1406710175 195558
1406710186 193242
1406710195 187486
1406710205 180746
1406710215 175721
1406710225 173407
1406710236 178870
1406710244 171078
1406710256 175654
1406710264 175868
1406710275 178126
1406710286 174304
1406710295 177397
1406710306 171298
1406710316 165873
1406710325 176740
1406710335 183294
1406710346 200126
1406710356 239447
1406710366 244185
1406710376 225909
1406710386 221900
1406710397 215216
1406710407 212337
1406710418 228164
1406710428 218069
1406710438 204040
1406710448 200140
1406710458 179226
1406710468 194979
1406710478 180399
1406710488 208499
1406710497 181371
1406710508 191279
1406710517 183600
1406710529 193993
1406710538 189023
1406710549 179707
1406710558 180648
1406710569 205469
1406710578 202293
1406710588 189683
1406710597 186988
1406710609 186012
1406710617 185079
1406710629 191372
1406710638 183893
1406710648 188422
1406710659 191452
1406710668 196246
1406710678 194626
1406710688 205495
1406710698 187451
1406710709 184513
1406710718 195183
1406710727 188535
1406710738 195588
1406710747 184023
1406710759 173355
1406710768 172026
1406710778 177120
1406710788 176541
1406710798 169107
1406710809 185876
1406710819 181391
1406710829 171420
1406710839 180500
1406710848 167175
1406710858 164257
1406710869 176938
1406710879 178565
1406710889 187363
1406710899 -113422401
1406710910 -238404466
1406710919 -171304036
1406710933 -66904473
1406710942 197097
1406710950 207382
1406710960 226878
1406710969 210782
1406710978 185397
1406710991 179473
1406711000 161564
1406711009 158654
1406711019 169652
1406711030 170444
1406711038 161937
1406711049 162196
1406711059 174501
1406711069 194832
1406711078 208884
1406711090 187380
1406711099 180448
1406711111 181953
1406711121 188333
1406711131 191955
1406711142 216759
1406711152 218677
1406711164 234183
1406711174 219879
1406711185 198511
1406711195 200177
1406711205 222576
1406711214 217619
1406711225 220109
1406711236 218969
1406711257 227004
1406711267 237023
1406711277 223529
1406711288 249468
1406711298 245390
1406711310 238444
1406711322 252633
1406711334 232731
1406711345 240456
1406711355 242518
1406711366 227577
1406711377 228191
1406711388 242175
1406711399 226555
1406711412 221288
1406711423 211846
1406711432 203306
1406711442 194134
1406711452 189657
1406711462 199835
1406711472 204636
1406711482 185822
1406711492 177647
1406711502 186936
1406711510 182156
1406711522 189926
1406711531 191051
1406711541 194565
1406711552 204842
1406711562 227920
1406711572 216975
1406711581 200611
1406711592 207837
1406711602 202193
1406711612 191385
1406711621 212451
1406711632 207456
1406711642 197775
1406711651 197962
1406711662 211373
1406711672 220004
1406711683 235185
1406711693 231342
1406711704 222228
1406711715 225896
1406711726 229129
1406711736 216339
1406711747 216176
1406711757 222283
1406711768 229920
1406711779 240745
1406711791 246277
1406711802 240369
1406711813 224874
1406711823 222409
1406711833 231015
1406711844 239978
1406711855 243094
1406711866 236523
1406711877 240885
1406711888 252034
1406711899 253907
1406711909 235767
1406711920 251799
1406711931 231152
1406711941 238746
1406711952 228176
1406711963 222464
1406711974 229525
1406711985 260759
1406711995 222929
1406712006 228164
1406712017 229380
1406712028 212457
1406712038 219214
1406712049 229519
1406712059 222527
1406712072 223313
1406712083 215198
1406712093 211131
1406712104 224610
1406712116 218338
1406712127 224702
1406712136 222599
1406712147 234829
1406712157 247341
1406712168 253043
1406712178 228637
1406712189 228157
1406712199 204699
1406712209 206288
1406712220 231463
1406712230 213470
1406712241 226837
1406712251 225736
1406712261 217827
1406712270 218194
1406712281 215900
1406712290 202530
1406712300 185587
1406712313 200981
1406712323 188572
1406712332 193002
1406712341 180272
1406712352 180289
1406712361 174307
1406712371 194735
1406712381 190161
1406712391 185747
1406712401 184884
1406712410 183231
1406712422 185598
1406712430 191646
1406712442 211755
1406712451 208512
1406712462 221440
1406712472 225241
1406712481 222756
1406712491 206490
1406712502 187554
1406712512 194575
1406712521 198920
1406712532 194931
1406712541 195799
1406712551 191384
1406712562 184127
1406712571 174261
1406712581 194574
1406712591 186230
1406712602 191709
1406712611 201548
1406712622 201983
1406712633 203133
1406712642 189715
1406712653 185016
1406712662 174459
1406712672 172451
1406712681 172842
1406712693 180228
1406712702 192277
1406712713 194992
1406712723 191371
1406712732 189513
1406712743 189150
1406712752 195935
1406712763 225867
1406712771 217556
1406712783 191584
1406712793 187704
1406712802 180734
1406712812 190623
1406712822 193563
1406712832 179262
1406712843 182480
1406712852 179058
1406712862 165367
1406712872 168269
1406712882 208609
1406712892 209421
1406712903 206303
1406712914 195700
1406712923 203334
1406712933 190623
1406712943 186596
1406712955 206224
1406712963 203389
1406712975 206146
1406712984 197693
1406712995 198036
1406713004 204943
1406713015 191588
1406713024 187459
1406713035 213654
1406713044 216183
1406713056 217000
1406713067 256984
1406713078 241630
1406713089 245356
1406713100 241744
1406713110 237463
1406713121 239499
1406713132 208450
1406713143 226055
1406713153 219078
1406713164 211228
1406713174 191315
1406713184 206622
1406713193 209007
1406713205 237209
1406713216 238759
1406713228 238662
1406713239 230727
1406713249 209802
1406713259 204236
1406713269 206840
1406713281 208729
1406713291 213527
1406713300 206496
1406713311 207325
1406713320 196743
1406713332 207993
1406713341 213504
1406713350 203788
1406713359 214324
1406713371 207513
1406713379 198780
1406713391 210779
1406713400 200769
1406713411 200049
1406713421 211477
1406713432 213957
1406713442 211572
1406713453 223486
1406713463 234886
1406713474 242472
1406713484 241104
1406713495 231973
1406713506 236271
1406713517 241798
1406713528 241756
1406713540 244973
1406713550 246602
1406713562 254939
1406713587 252545
1406713599 255845
1406713611 260001
1406713623 264823
1406713634 264976
1406713645 257084
1406713657 259190
1406713668 260923
1406713679 251308
1406713693 256731
1406713705 240176
1406713713 233354
1406713724 240781
1406713734 236676
1406713745 234694
1406713757 228086
1406713768 219884
1406713779 225904
1406713789 222378
1406713799 212703
1406713809 217292
1406713819 213230
1406713830 215109
1406713840 222276
1406713850 213533
1406713861 212607
1406713871 216788
1406713881 207234
1406713891 205921
1406713901 208926
1406713910 206100
1406713922 216734
1406713932 226638
1406713942 221925
1406713952 228691
1406713962 231982
1406713973 219794
1406713983 223341
1406713993 207723
1406714004 217456
1406714014 219012
1406714025 236157
1406714036 238636
1406714047 236367
1406714056 225969
1406714068 235531
1406714079 242913
1406714088 210478
1406714100 217328
1406714109 195934
1406714120 196478
1406714130 200651
1406714140 211198
1406714150 199797
1406714161 207136
1406714172 214219
1406714182 198750
1406714191 203444
1406714201 204435
1406714212 197905
1406714221 197855
1406714233 199389
1406714243 199500
1406714252 204211
1406714262 228215
1406714271 219426
1406714283 222312
1406714293 223084
1406714303 212809
1406714313 203472
1406714323 206632
1406714333 199934
1406714342 192796
1406714353 189463
1406714363 174836
1406714372 172421
1406714383 181905
1406714391 192667
1406714402 187456
1406714413 192257
1406714425 188989
1406714434 191496
1406714444 200510
1406714453 190532
1406714464 202989
1406714481 218388
1406714485 216168
1406714496 227077
1406714506 234683
1406714519 238829
1406714530 238595
1406714541 235110
1406714552 236303
1406714561 239064
1406714572 231502
1406714582 233943
1406714593 226521
1406714603 215287
1406714613 211745
1406714623 209686
1406714634 210734
1406714644 224368
1406714655 231667
1406714667 222306
1406714679 237902
1406714691 258646
1406714701 257257
1406714714 259715
1406714744 252831
1406714748 248090
1406714759 245193
1406714771 253253
1406714783 252501
1406714796 265818
1406714808 260357
1406714820 254199
1406714854 247340
1406714857 249257
1406714869 261039
1406714881 263161
1406714892 266240
1406714960 270733
1406714971 272664
1406714992 275711
1406715002 276093
1406715021 282418
1406715030 264560
1406715049 266673
1406715053 265302
1406715064 249592
1406715076 235968
1406715086 234349
1406715097 236618
1406715108 223447
1406715120 212087
1406715130 218418
1406715141 230125
1406715152 228817
1406715163 234926
1406715174 238029
1406715184 240697
1406715195 244560
1406715205 223392
1406715215 235656
1406715225 241991
1406715236 234802
1406715247 226458
1406715258 219894
1406715268 216313
1406715279 230984
1406715290 229466
1406715301 227994
1406715312 229494
1406715324 218131
1406715334 216101
1406715345 217448
1406715355 214625
1406715366 221576
1406715377 249203
1406715387 225851
1406715398 234161
1406715409 218867
1406715420 222453
1406715433 230211
1406715443 240791
1406715454 224966
1406715465 246208
1406715476 259320
1406715487 270635
1406715498 273198
1406715510 244843
1406715520 244782
1406715532 243246
1406715543 245245
1406715554 248851
1406715566 230312
1406715576 240636
1406715587 238370
1406715598 226493
1406715608 223332
1406715619 220927
1406715630 213804
1406715639 215003
1406715651 193378
1406715660 187961
1406715671 193564
1406715680 188558
1406715691 202041
1406715699 218128
1406715712 195888
1406715721 209447
1406715732 205997
1406715740 209472
1406715752 217496
1406715762 230050
1406715773 238296
1406715782 235068
1406715793 220187
1406715803 212889
1406715815 208350
1406715824 222494
1406715835 231232
1406715844 221490
1406715856 216830
1406715865 214594
1406715877 224138
1406715888 226288
1406715898 201962
1406715908 194873
1406715918 186747
1406715928 177363
1406715938 179438
1406715948 193088
1406715958 197490
1406715968 213269
1406715978 212856
1406715988 204250
1406715997 194266
1406716007 177677
1406716018 180934
1406716027 193763
1406716037 185568
1406716047 172313
1406716057 188625
1406716067 206535
1406716078 217621
1406716087 215346
1406716098 199515
1406716108 177107
1406716117 179579
1406716128 216849
1406716137 247866
1406716148 246798
1406716158 223569
1406716168 210627
1406716177 202500
1406716189 221312
1406716198 205889
1406716211 210275
1406716220 207759
1406716230 209689
1406716239 207352
1406716250 194852
1406716261 190165
1406716271 203581
1406716281 184286
1406716291 189043
1406716301 197090
1406716310 196723
1406716320 199281
1406716331 202930
1406716341 194863
1406716352 196380
1406716362 234711
1406716371 242458
1406716383 238519
1406716394 240225
1406716404 217114
1406716414 201189
1406716424 201559
1406716434 191063
1406716442 169389
1406716454 174360
1406716463 168886
1406716474 177699
1406716483 193926
1406716493 185004
1406716504 195393
1406716513 201516
1406716524 195181
1406716535 184235
1406716545 195784
1406716554 206725
1406716565 210366
1406716575 209397
1406716585 200385
1406716596 199400
1406716605 188615
1406716616 183192
1406716626 187230
1406716635 194025
1406716646 207681
1406716656 197923
1406716666 202903
1406716676 222440
1406716685 218285
1406716697 202129
1406716707 195660
1406716716 201385
1406716727 195899
1406716737 204426
1406716746 209211
1406716756 204491
1406716767 201672
1406716778 200633
1406716788 201400
1406716798 195387
1406716808 188559
1406716818 190703
1406716828 183131
1406716838 176199
1406716848 187487
1406716857 177526
1406716868 190983
1406716878 190795
1406716887 187209
1406716898 181138
1406716908 185343
1406716918 192866
1406716926 181041
1406716937 181162
1406716948 178665
1406716957 183328
1406716968 192328
1406716976 192018
1406716988 211893
1406716996 202417
1406717008 174274
1406717018 167201
1406717027 179820
1406717037 176780
1406717047 184473
1406717057 185397
1406717068 185296
1406717077 185581
1406717088 195258
1406717097 204036
1406717107 209196
